jahr;kt;anz
1993;"BE";318086
1993;"BL";87188
1993;"BS";63809
1993;"FR";60900
1993;"GE";79641
1993;"GL";9735
1993;"GR";42918
1993;"JU";19069
1993;"LU";97935
1993;"NE";41301
1993;"NW";11336
1993;"OW";8220
1993;"SG";127123
1993;"SH";31670
1993;"SO";85458
1993;"SZ";30399
1993;"TG";61166
1993;"TI";74133
1993;"UR";9604
1993;"VD";140480
1993;"VS";73364
1993;"ZG";29328
1993;"ZH";368226
1994;"AG";140575
1994;"AI";3958
1994;"AR";18194
1994;"BE";293937
1994;"BL";78017
1994;"BS";62650
1994;"FR";53074
1994;"GE";74408
1994;"GL";10224
1994;"GR";44164
1994;"JU";14707
1994;"LU";102112
1994;"NE";36109
1994;"NW";11534
1994;"OW";8595
1994;"SG";125453
1994;"SH";31082
1994;"SO";80609
1994;"SZ";33353
1994;"TG";62575
1994;"TI";74575
1994;"UR";12094
1994;"VD";118965
1994;"VS";70753
1994;"ZG";29021
1994;"ZH";356556
1995;"AG";115723
1995;"AI";3698
1995;"AR";16176
1995;"BE";258357
1995;"BL";66619
1995;"BS";56142
1995;"FR";51870
1995;"GE";63018
1995;"GL";8985
1995;"GR";37990
1995;"JU";17174
1995;"LU";95128
1995;"NE";33779
1995;"NW";12489
1995;"OW";7541
1995;"SG";108847
1995;"SH";28681
1995;"SO";68952
1995;"SZ";26787
1995;"TG";59439
1995;"TI";54275
1995;"UR";8737
1995;"VD";113137
1995;"VS";47592
1995;"ZG";25427
1995;"ZH";350406
1996;"AG";111102
1996;"AI";2688
1996;"AR";13308
1996;"BE";223218
1996;"BL";55043
1996;"BS";55074
1996;"FR";62902
1996;"GE";69230
1996;"GL";8741
1996;"GR";35253
1996;"JU";17300
1996;"LU";83823
1996;"NE";28308
1996;"NW";10378
1996;"OW";6546
1996;"SG";93875
1996;"SH";26979
1996;"SO";58246
1996;"SZ";23571
1996;"TG";45678
1996;"TI";57913
1996;"UR";9602
1996;"VD";90888
1996;"VS";50539
1996;"ZG";22100
1996;"ZH";269529
1997;"AG";119491
1997;"AI";2929
1997;"AR";17297
1997;"BE";229838
1997;"BL";68783
1997;"BS";55802
1997;"FR";50608
1997;"GE";79424
1997;"GL";7301
1997;"GR";32495
1997;"JU";14206
1997;"LU";90385
1997;"NE";29728
1997;"NW";11301
1997;"OW";6679
1997;"SG";105575
1997;"SH";27789
1997;"SO";81131
1997;"SZ";26848
1997;"TG";51947
1997;"TI";51037
1997;"UR";8090
1997;"VD";103531
1997;"VS";78496
1997;"ZG";25640
1997;"ZH";308126
1998;"AG";144429
1998;"AI";3764
1998;"AR";17171
1998;"BE";281229
1998;"BL";74135
1998;"BS";61031
1998;"FR";63220
1998;"GE";90144
1998;"GL";10131
1998;"GR";45703
1998;"JU";19749
1998;"LU";106484
1998;"NE";37457
1998;"NW";12205
1998;"OW";10163
1998;"SG";119505
1998;"SH";29160
1998;"SO";74815
1998;"SZ";32425
1998;"TG";60490
1998;"TI";64326
1998;"UR";10263
1998;"VD";133927
1998;"VS";70820
1998;"ZG";28888
1998;"ZH";334358
1999;"AG";137640
1999;"AI";4008
1999;"AR";17856
1999;"BE";277486
1999;"BL";75470
1999;"BS";59732
1999;"FR";55128
1999;"GE";83462
1999;"GL";9717
1999;"GR";42967
1999;"JU";14515
1999;"LU";108430
1999;"NE";33230
1999;"NW";12259
1999;"OW";10077
1999;"SG";122657
1999;"SH";28404
1999;"SO";75719
1999;"SZ";34108
1999;"TG";62546
1999;"TI";68274
1999;"UR";9487
1999;"VD";114520
1999;"VS";50326
1999;"ZG";29964
1999;"ZH";342077
2000;"AG";139474
2000;"AI";3655
2000;"AR";17068
2000;"BE";290335
2000;"BL";74909
2000;"BS";60659
2000;"FR";67007
2000;"GE";96008
2000;"GL";9745
2000;"GR";43794
2000;"JU";21009
2000;"LU";104100
2000;"NE";39784
2000;"NW";11764
2000;"OW";9167
2000;"SG";119117
2000;"SH";28581
2000;"SO";74254
2000;"SZ";38583
2000;"TG";57501
2000;"TI";68581
2000;"UR";10707
2000;"VD";132647
2000;"VS";66079
2000;"ZG";30747
2000;"ZH";349072
2001;"AG";139955
2001;"AI";4531
2001;"AR";17738
2001;"BE";289817
2001;"BL";77105
2001;"BS";58094
2001;"FR";71143
2001;"GE";94675
2001;"GL";10111
2001;"GR";49048
2001;"JU";18464
2001;"LU";108730
2001;"NE";55322
2001;"NW";12936
2001;"OW";10819
2001;"SG";125064
2001;"SH";28445
2001;"SO";75477
2001;"SZ";43333
2001;"TG";59357
2001;"TI";67078
2001;"UR";10764
2001;"VD";129671
2001;"VS";69794
2001;"ZG";32940
2001;"ZH";356430
2002;"AG";157141
2002;"AI";4743
2002;"AR";19038
2002;"BE";306084
2002;"BL";85355
2002;"BS";62239
2002;"FR";67492
2002;"GE";107740
2002;"GL";11485
2002;"GR";52275
2002;"JU";18672
2002;"LU";120676
2002;"NE";56933
2002;"NW";15568
2002;"OW";10809
2002;"SG";136665
2002;"SH";30178
2002;"SO";83431
2002;"SZ";45738
2002;"TG";66887
2002;"TI";70142
2002;"UR";10682
2002;"VD";170038
2002;"VS";67890
2002;"ZG";36860
2002;"ZH";403948
2003;"AG";152352
2003;"AI";3977
2003;"AR";18204
2003;"BE";294650
2003;"BL";80742
2003;"BS";58521
2003;"FR";68616
2003;"GE";96707
2003;"GL";10511
2003;"GR";48086
2003;"JU";18702
2003;"LU";111769
2003;"NE";53646
2003;"NW";13670
2003;"OW";10594
2003;"SG";127760
2003;"SH";29295
2003;"SO";81909
2003;"SZ";44900
2003;"TG";65064
2003;"TI";65191
2003;"UR";11100
2003;"VD";168029
2003;"VS";64859
2003;"ZG";34363
2003;"ZH";380564
2004;"AG";159249
2004;"AI";4238
2004;"AR";19219
2004;"BE";307921
2004;"BL";85171
2004;"BS";59255
2004;"FR";71181
2004;"GE";109594
2004;"GL";10683
2004;"GR";49938
2004;"JU";21757
2004;"LU";120782
2004;"NE";55609
2004;"NW";13971
2004;"OW";10964
2004;"SG";130822
2004;"SH";28981
2004;"SO";80079
2004;"SZ";44336
2004;"TG";61415
2004;"TI";81869
2004;"UR";11690
2004;"VD";174900
2004;"VS";72685
2004;"ZG";37166
2004;"ZH";391964
2005;"AG";177187
2005;"AI";4917
2005;"AR";19967
2005;"BE";311195
2005;"BL";87227
2005;"BS";60345
2005;"FR";81490
2005;"GE";116839
2005;"GL";11163
2005;"GR";57368
2005;"JU";22897
2005;"LU";129692
2005;"NE";58987
2005;"NW";14742
2005;"OW";12044
2005;"SG";143583
2005;"SH";30737
2005;"SO";81339
2005;"SZ";48205
2005;"TG";71771
2005;"TI";90462
2005;"UR";11456
2005;"VD";190511
2005;"VS";96610
2005;"ZG";38843
2005;"ZH";425282
2006;"AG";149932
2006;"AI";3996
2006;"AR";17241
2006;"BE";271640
2006;"BL";78446
2006;"BS";53506
2006;"FR";74507
2006;"GE";105269
2006;"GL";10051
2006;"GR";49201
2006;"JU";19178
2006;"LU";108664
2006;"NE";50758
2006;"NW";12749
2006;"OW";10018
2006;"SG";125095
2006;"SH";28492
2006;"SO";73266
2006;"SZ";43354
2006;"TG";61916
2006;"TI";83198
2006;"UR";9291
2006;"VD";176668
2006;"VS";82900
2006;"ZG";33838
2006;"ZH";373722
2007;"AG";131832
2007;"AI";3731
2007;"AR";15374
2007;"BE";247299
2007;"BL";67485
2007;"BS";53115
2007;"FR";69895
2007;"GE";106098
2007;"GL";8972
2007;"GR";47245
2007;"JU";21514
2007;"LU";103153
2007;"NE";54961
2007;"NW";11588
2007;"OW";9610
2007;"SG";117195
2007;"SH";28643
2007;"SO";62205
2007;"SZ";37781
2007;"TG";56506
2007;"TI";81875
2007;"UR";8019
2007;"VD";187419
2007;"VS";89205
2007;"ZG";32794
2007;"ZH";328552
2008;"AG";156712
2008;"AI";3770
