jahr;kt;anz
1993;"BE";676308
1993;"BL";172011
1993;"BS";129114
1993;"FR";148049
1993;"GE";198158
1993;"GL";24800
1993;"GR";123024
1993;"JU";47299
1993;"LU";225514
1993;"NE";103617
1993;"NW";24991
1993;"OW";20852
1993;"SG";279317
1993;"SH";48811
1993;"SO";161909
1993;"SZ";77988
1993;"TG";134936
1993;"TI";186184
1993;"UR";25327
1993;"VD";360425
1993;"VS";174352
1993;"ZG";58572
1993;"ZH";769589
1994;"AG";339232
1994;"AI";9835
1994;"AR";35485
1994;"BE";675991
1994;"BL";172173
1994;"BS";128072
1994;"FR";149198
1994;"GE";198328
1994;"GL";24751
1994;"GR";123768
1994;"JU";47397
1994;"LU";226096
1994;"NE";104018
1994;"NW";25236
1994;"OW";21014
1994;"SG";279962
1994;"SH";48712
1994;"SO";162023
1994;"SZ";78661
1994;"TG";135649
1994;"TI";187091
1994;"UR";25404
1994;"VD";361040
1994;"VS";175581
1994;"ZG";59100
1994;"ZH";769841
1995;"AG";340980
1995;"AI";9875
1995;"AR";35489
1995;"BE";676055
1995;"BL";172523
1995;"BS";126747
1995;"FR";150718
1995;"GE";199001
1995;"GL";24782
1995;"GR";124728
1995;"JU";47745
1995;"LU";225231
1995;"NE";104141
1995;"NW";25437
1995;"OW";21221
1995;"SG";280554
1995;"SH";48686
1995;"SO";162422
1995;"SZ";79412
1995;"TG";136584
1995;"TI";187638
1995;"UR";25412
1995;"VD";362237
1995;"VS";176616
1995;"ZG";59959
1995;"ZH";771354
1996;"AG";343409
1996;"AI";9890
1996;"AR";35403
1996;"BE";675629
1996;"BL";173142
1996;"BS";124588
1996;"FR";152444
1996;"GE";199774
1996;"GL";24711
1996;"GR";125381
1996;"JU";47782
1996;"LU";225853
1996;"NE";104351
1996;"NW";25706
1996;"OW";21473
1996;"SG";281028
1996;"SH";48587
1996;"SO";163016
1996;"SZ";80481
1996;"TG";137522
1996;"TI";189190
1996;"UR";25361
1996;"VD";362920
1996;"VS";177957
1996;"ZG";61111
1996;"ZH";772679
1997;"AG";346060
1997;"AI";9940
1997;"AR";35505
1997;"BE";675256
1997;"BL";173776
1997;"BS";122312
1997;"FR";154138
1997;"GE";200286
1997;"GL";24703
1997;"GR";126002
1997;"JU";47716
1997;"LU";226401
1997;"NE";104574
1997;"NW";26104
1997;"OW";21731
1997;"SG";281872
1997;"SH";48432
1997;"SO";163681
1997;"SZ";81882
1997;"TG";138472
1997;"TI";189516
1997;"UR";25416
1997;"VD";363340
1997;"VS";179705
1997;"ZG";62199
1997;"ZH";774890
1998;"AG";348551
1998;"AI";9965
1998;"AR";35528
1998;"BE";675498
1998;"BL";174726
1998;"BS";119766
1998;"FR";155841
1998;"GE";200816
1998;"GL";24644
1998;"GR";126762
1998;"JU";47963
1998;"LU";227506
1998;"NE";104742
1998;"NW";26434
1998;"OW";21962
1998;"SG";282822
1998;"SH";48448
1998;"SO";163805
1998;"SZ";83138
1998;"TG";139726
1998;"TI";190664
1998;"UR";25479
1998;"VD";364852
1998;"VS";181331
1998;"ZG";63407
1998;"ZH";777878
1999;"AG";349498
1999;"AI";9919
1999;"AR";35531
1999;"BE";675423
1999;"BL";174932
1999;"BS";118442
1999;"FR";156457
1999;"GE";201331
1999;"GL";24560
1999;"GR";127309
1999;"JU";47942
1999;"LU";227772
1999;"NE";104773
1999;"NW";26652
1999;"OW";22018
1999;"SG";283051
1999;"SH";48232
1999;"SO";163581
1999;"SZ";83785
1999;"TG";140502
1999;"TI";191890
1999;"UR";25440
1999;"VD";365393
1999;"VS";182278
1999;"ZG";64010
1999;"ZH";780439
2000;"AG";352891
2000;"AI";10037
2000;"AR";35641
2000;"BE";676340
2000;"BL";175828
2000;"BS";115799
2000;"FR";158345
2000;"GE";203205
2000;"GL";24570
2000;"GR";127990
2000;"JU";47907
2000;"LU";229648
2000;"NE";104481
2000;"NW";27024
2000;"OW";22240
2000;"SG";284554
2000;"SH";48045
2000;"SO";163939
2000;"SZ";85484
2000;"TG";142087
2000;"TI";194149
2000;"UR";25457
2000;"VD";366561
2000;"VS";183850
2000;"ZG";64814
2000;"ZH";787304
2001;"AG";356048
2001;"AI";10003
2001;"AR";35697
2001;"BE";677756
2001;"BL";176599
2001;"BS";114454
2001;"FR";160062
2001;"GE";205798
2001;"GL";24598
2001;"GR";128510
2001;"JU";47967
2001;"LU";231032
2001;"NE";104483
2001;"NW";27381
2001;"OW";22462
2001;"SG";286317
2001;"SH";48047
2001;"SO";164374
2001;"SZ";86977
2001;"TG";143222
2001;"TI";195778
2001;"UR";25440
2001;"VD";368512
2001;"VS";185177
2001;"ZG";65494
2001;"ZH";795202
2002;"AG";359643
2002;"AI";10095
2002;"AR";35788
2002;"BE";680794
2002;"BL";177553
2002;"BS";117494
2002;"FR";161966
2002;"GE";207625
2002;"GL";24739
2002;"GR";128920
2002;"JU";48157
2002;"LU";232738
2002;"NE";104664
2002;"NW";27794
2002;"OW";22708
2002;"SG";289086
2002;"SH";48113
2002;"SO";165143
2002;"SZ";88334
2002;"TG";144484
2002;"TI";197569
2002;"UR";25458
2002;"VD";364645
2002;"VS";186862
2002;"ZG";66328
2002;"ZH";802549
2003;"AG";362535
2003;"AI";10206
2003;"AR";35927
2003;"BE";683425
2003;"BL";178148
2003;"BS";116739
2003;"FR";163643
2003;"GE";208624
2003;"GL";24867
2003;"GR";129392
2003;"JU";48295
2003;"LU";234090
2003;"NE";104973
2003;"NW";28070
2003;"OW";22857
2003;"SG";290011
2003;"SH";48000
2003;"SO";165748
2003;"SZ";89415
2003;"TG";145607
2003;"TI";198328
2003;"UR";25533
2003;"VD";364686
2003;"VS";188492
2003;"ZG";66616
2003;"ZH";807945
2004;"AG";366443
2004;"AI";10189
2004;"AR";36097
2004;"BE";687528
2004;"BL";180091
2004;"BS";111065
2004;"FR";166124
2004;"GE";210894
2004;"GL";25026
2004;"GR";130588
2004;"JU";48429
2004;"LU";236334
2004;"NE";105505
2004;"NW";28514
2004;"OW";23046
2004;"SG";292326
2004;"SH";48101
2004;"SO";166372
2004;"SZ";90587
2004;"TG";147529
2004;"TI";200062
2004;"UR";25551
2004;"VD";366776
2004;"VS";190861
2004;"ZG";67908
2004;"ZH";816193
2005;"AG";370950
2005;"AI";10328
2005;"AR";36375
2005;"BE";691997
2005;"BL";181464
2005;"BS";109955
2005;"FR";168738
2005;"GE";211991
2005;"GL";25078
2005;"GR";131116
2005;"JU";48747
2005;"LU";238605
2005;"NE";105997
2005;"NW";28902
2005;"OW";23255
2005;"SG";294766
2005;"SH";48251
2005;"SO";167322
2005;"SZ";91557
2005;"TG";149242
2005;"TI";201861
2005;"UR";25623
2005;"VD";369524
2005;"VS";192904
2005;"ZG";68931
2005;"ZH";824699
2006;"AG";375358
2006;"AI";10493
2006;"AR";36740
2006;"BE";696528
2006;"BL";182697
2006;"BS";108688
2006;"FR";171435
2006;"GE";214054
2006;"GL";25260
2006;"GR";131954
2006;"JU";49221
2006;"LU";240985
2006;"NE";106674
2006;"NW";29220
2006;"OW";23606
2006;"SG";297301
2006;"SH";48444
2006;"SO";168160
2006;"SZ";92773
2006;"TG";151358
2006;"TI";203087
2006;"UR";25641
2006;"VD";372980
2006;"VS";194819
2006;"ZG";69638
2006;"ZH";833305
2007;"AG";377912
2007;"AI";10591
2007;"AR";36898
2007;"BE";698872
2007;"BL";183456
2007;"BS";108362
2007;"FR";172598
2007;"GE";215900
2007;"GL";25392
2007;"GR";132290
2007;"JU";49390
2007;"LU";242535
2007;"NE";106827
2007;"NW";29462
2007;"OW";23798
2007;"SG";298584
2007;"SH";48596
2007;"SO";168606
2007;"SZ";93510
2007;"TG";152250
2007;"TI";204216
2007;"UR";25652
2007;"VD";375571
2007;"VS";196107
2007;"ZG";70017
2007;"ZH";839712
2008;"AG";383905
2008;"AI";10742
2008;"AR";37129
2008;"BE";702754
2008;"BL";184643
2008;"BS";107920
2008;"FR";176319
2008;"GE";218018
2008;"GL";25609
2008;"GR";132958
2008;"JU";49737
2008;"LU";246303
2008;"NE";107423
2008;"NW";29764
2008;"OW";24143
2008;"SG";301965
2008;"SH";48814
2008;"SO";169563
2008;"SZ";95167
2008;"TG";154514
2008;"TI";206703
2008;"UR";25740
2008;"VD";381788
2008;"VS";198183
2008;"ZG";70765
2008;"ZH";851314
2009;"AG";388671
2009;"AI";10850
2009;"AR";37366
2009;"BE";706180
2009;"BL";185567
2009;"BS";107733
2009;"FR";179220
2009;"GE";218326
2009;"GL";25728
2009;"GR";133756
2009;"JU";49955
2009;"LU";249522
2009;"NE";108223
2009;"NW";29986
2009;"OW";24551
2009;"SG";304846
2009;"SH";48954
2009;"SO";170432
2009;"SZ";96200
2009;"TG";156589
2009;"TI";208820
2009;"UR";25929
2009;"VD";386584
2009;"VS";200046
2009;"ZG";70825
2009;"ZH";861531
2010;"AG";387230
2010;"AI";11017
2010;"AR";37425
2010;"BE";709582
2010;"BL";186038
2010;"BS";107694
2010;"FR";181877
2010;"GE";219291
2010;"GL";25844
2010;"GR";134567
2010;"JU";50358
2010;"LU";252552
2010;"NE";109386
2010;"NW";30132
2010;"OW";24933
2010;"SG";301357
2010;"SH";49230
2010;"SO";171262
2010;"SZ";97095
2010;"TG";156911
2010;"TI";210192
2010;"UR";25703
2010;"VD";391125
2010;"VS";202401
2010;"ZG";71217
2010;"ZH";869455
2011;"AG";389637
2011;"AI";11016
2011;"AR";37459
2011;"BE";711214
2011;"BL";186188
2011;"BS";107426
2011;"FR";183402
2011;"GE";220096
2011;"GL";25991
2011;"GR";135061
2011;"JU";50391
2011;"LU";254105
2011;"NE";109519
2011;"NW";30265
2011;"OW";25117
2011;"SG";303114
2011;"SH";49494
2011;"SO";172059
2011;"SZ";97849
2011;"TG";156757
2011;"TI";210816
2011;"UR";25705
2011;"VD";393074
2011;"VS";203893
2011;"ZG";71663
2011;"ZH";873069
2012;"AG";394486
2012;"AI";11124
2012;"AR";37750
2012;"BE";718298
2012;"BL";186597
2012;"BS";83180
2012;"FR";185658
2012;"GE";221526
2012;"GL";26063
2012;"GR";135579
2012;"JU";50774
2012;"LU";258165
2012;"NE";109841
2012;"NW";30481
2012;"OW";25354
2012;"SG";305917
2012;"SH";50216
2012;"SO";174042
2012;"SZ";98821
2012;"TG";159220
2012;"TI";212814
2012;"UR";25761
2012;"VD";397850
2012;"VS";203935
2012;"ZG";72323
2012;"ZH";882422
2013;"AG";398492
2013;"AI";11139
2013;"AR";37899
2013;"BE";721848
2013;"BL";186660
2013;"BS";107102
2013;"FR";185953
2013;"GE";222552
2013;"GL";26085
2013;"GR";136078
2013;"JU";51261
2013;"LU";261233
2013;"NE";110376
2013;"NW";30588
2013;"OW";25678
2013;"SG";307979
2013;"SH";50561
2013;"SO";175377
2013;"SZ";100010
2013;"TG";161174
2013;"TI";215033
2013;"UR";25821
2013;"VD";401530
2013;"VS";206670
2013;"ZG";72820
2013;"ZH";888675
2014;"AG";401853
2014;"AI";11171
2014;"AR";38237
2014;"BE";725283
2014;"BL";187344
2014;"BS";106880
2014;"FR";188336
2014;"GE";222961
2014;"GL";26201
2014;"GR";136487
2014;"JU";51681
2014;"LU";263701
2014;"NE";110777
2014;"NW";30658
2014;"OW";25935
2014;"SG";309858
2014;"SH";50721
2014;"SO";176196
2014;"SZ";101041
2014;"TG";162666
2014;"TI";216698
2014;"UR";25869
2014;"VD";405766
2014;"VS";208652
2014;"ZG";73568
2014;"ZH";895979
