gnr;jahr;dim;wert
3945;1991;21;-2.02
3945;1991;22;-1.10
3946;1991;21;-3.14
3946;1991;22;-0.30
3947;1991;21;0.12
3947;1991;22;3.21
3951;1991;21;-7.19
3951;1991;22;7.15
3952;1991;21;-2.12
3952;1991;22;6.81
3953;1991;21;-0.76
3953;1991;22;7.04
3954;1991;21;3.49
3954;1991;22;0.49
3955;1991;21;-2.13
3955;1991;22;-2.95
3961;1991;21;-3.98
3961;1991;22;0.47
3962;1991;21;-6.06
3962;1991;22;1.06
3972;1991;21;-5.57
3972;1991;22;2.58
3981;1991;21;-5.49
3981;1991;22;9.46
3982;1991;21;-6.61
3982;1991;22;3.05
3983;1991;21;-13.10
3983;1991;22;6.45
3985;1991;21;-5.34
3985;1991;22;3.77
3986;1991;21;-4.40
3986;1991;22;2.78
3987;1991;21;-5.21
3987;1991;22;3.03
4001;1991;21;0.80
4001;1991;22;5.20
4002;1991;21;-0.45
4002;1991;22;1.02
4003;1991;21;-4.64
4003;1991;22;8.84
4004;1991;21;-14.09
4004;1991;22;13.35
4005;1991;21;-3.05
4005;1991;22;10.59
4006;1991;21;-8.71
4006;1991;22;6.85
4007;1991;21;-13.05
4007;1991;22;11.28
4008;1991;21;-0.62
4008;1991;22;8.43
4009;1991;21;-9.76
4009;1991;22;10.95
4010;1991;21;-5.57
4010;1991;22;8.59
4012;1991;21;-5.72
4012;1991;22;6.52
4013;1991;21;-3.07
4013;1991;22;10.87
4021;1991;21;6.59
4021;1991;22;3.19
4022;1991;21;0.47
4022;1991;22;4.99
4023;1991;21;5.10
4023;1991;22;9.23
4024;1991;21;-4.54
4024;1991;22;11.03
4026;1991;21;9.48
4026;1991;22;5.08
4027;1991;21;-0.01
4027;1991;22;7.72
4028;1991;21;-3.61
4028;1991;22;-0.76
4029;1991;21;0.01
4029;1991;22;5.25
4030;1991;21;-0.19
4030;1991;22;4.58
4031;1991;21;-7.11
4031;1991;22;11.18
4032;1991;21;-6.53
4032;1991;22;5.86
4033;1991;21;-2.19
4033;1991;22;8.01
4034;1991;21;-2.28
4034;1991;22;2.48
4035;1991;21;0.32
4035;1991;22;10.22
4037;1991;21;4.97
4037;1991;22;13.17
4038;1991;21;4.41
4038;1991;22;7.34
4039;1991;21;-0.62
4039;1991;22;8.97
4040;1991;21;-1.94
4040;1991;22;0.39
4041;1991;21;-3.28
4041;1991;22;6.34
4042;1991;21;-1.46
4042;1991;22;1.36
4044;1991;21;1.60
4044;1991;22;5.90
4045;1991;21;1.67
4045;1991;22;5.05
4046;1991;21;-4.31
4046;1991;22;4.78
4047;1991;21;-6.13
4047;1991;22;10.07
4048;1991;21;1.61
4048;1991;22;9.47
4049;1991;21;-1.63
4049;1991;22;6.85
4061;1991;21;0.21
4061;1991;22;5.35
4062;1991;21;0.24
4062;1991;22;4.43
4063;1991;21;-1.72
4063;1991;22;3.70
4064;1991;21;-13.01
4064;1991;22;12.43
4065;1991;21;-6.63
4065;1991;22;8.84
4066;1991;21;-6.00
4066;1991;22;7.36
4067;1991;21;-9.91
4067;1991;22;12.28
4068;1991;21;-9.34
4068;1991;22;7.23
4071;1991;21;-2.55
4071;1991;22;4.25
4072;1991;21;-4.46
4072;1991;22;9.06
4073;1991;21;0.78
4073;1991;22;2.63
4074;1991;21;2.48
4074;1991;22;7.85
4075;1991;21;1.20
4075;1991;22;1.90
4076;1991;21;-10.56
4076;1991;22;11.54
4077;1991;21;-6.35
4077;1991;22;6.76
4078;1991;21;-18.18
4078;1991;22;6.90
4079;1991;21;-5.75
4079;1991;22;8.05
4080;1991;21;-11.39
4080;1991;22;10.86
4081;1991;21;4.84
4081;1991;22;6.63
4082;1991;21;-6.42
4082;1991;22;6.98
4083;1991;21;0.10
4083;1991;22;4.45
4084;1991;21;-6.51
4084;1991;22;7.58
4091;1991;21;-3.48
4091;1991;22;9.35
4092;1991;21;-5.87
4092;1991;22;8.95
4093;1991;21;-5.60
4093;1991;22;11.03
4094;1991;21;-13.83
4094;1991;22;12.90
4095;1991;21;-0.50
4095;1991;22;5.82
4096;1991;21;-11.01
4096;1991;22;6.70
4097;1991;21;-6.25
4097;1991;22;9.80
4099;1991;21;-7.67
4099;1991;22;6.07
4100;1991;21;-1.40
4100;1991;22;10.59
4104;1991;21;-4.65
4104;1991;22;11.13
4105;1991;21;-16.09
4105;1991;22;16.19
4106;1991;21;-7.25
4106;1991;22;8.73
4107;1991;21;-3.20
4107;1991;22;2.05
4110;1991;21;-4.99
4110;1991;22;10.57
4111;1991;21;2.04
4111;1991;22;9.23
4112;1991;21;-1.89
4112;1991;22;7.82
4113;1991;21;-7.28
4113;1991;22;-0.60
4114;1991;21;-6.19
4114;1991;22;10.66
4117;1991;21;-14.88
4117;1991;22;12.82
4120;1991;21;-5.60
4120;1991;22;7.81
4121;1991;21;-5.17
4121;1991;22;8.76
4122;1991;21;-4.61
4122;1991;22;10.06
4123;1991;21;-1.17
4123;1991;22;5.83
4124;1991;21;-10.42
4124;1991;22;11.34
4125;1991;21;-3.79
4125;1991;22;10.93
4131;1991;21;-9.52
4131;1991;22;7.30
4132;1991;21;-8.70
4132;1991;22;8.52
4133;1991;21;-12.15
4133;1991;22;2.04
4134;1991;21;-20.54
4134;1991;22;17.69
4135;1991;21;-17.64
4135;1991;22;10.85
4136;1991;21;-14.13
4136;1991;22;14.35
4137;1991;21;-19.40
4137;1991;22;12.01
4138;1991;21;-19.74
4138;1991;22;14.50
4139;1991;21;-10.55
4139;1991;22;6.57
4140;1991;21;-15.17
4140;1991;22;9.72
4141;1991;21;-13.89
4141;1991;22;6.72
4142;1991;21;-20.09
4142;1991;22;11.99
4143;1991;21;-20.55
4143;1991;22;11.21
4144;1991;21;-10.78
4144;1991;22;10.80
4145;1991;21;-13.20
4145;1991;22;9.29
4146;1991;21;-13.39
4146;1991;22;9.01
4147;1991;21;-14.64
4147;1991;22;12.14
4161;1991;21;-6.83
4161;1991;22;1.33
4163;1991;21;-3.70
4163;1991;22;5.33
4164;1991;21;-6.64
4164;1991;22;13.07
4165;1991;21;-4.09
4165;1991;22;3.70
4166;1991;21;-8.88
4166;1991;22;7.84
4167;1991;21;-10.69
4167;1991;22;7.90
4169;1991;21;-2.71
4169;1991;22;3.64
4170;1991;21;-4.25
4170;1991;22;7.01
4172;1991;21;-6.31
4172;1991;22;4.54
4173;1991;21;-11.92
4173;1991;22;1.79
4175;1991;21;-12.68
4175;1991;22;7.66
4176;1991;21;-14.95
4176;1991;22;5.56
4177;1991;21;-1.78
4177;1991;22;2.10
4179;1991;21;-8.63
4179;1991;22;6.52
4181;1991;21;-8.00
4181;1991;22;6.92
4182;1991;21;-10.94
4182;1991;22;9.89
4183;1991;21;-11.01
4183;1991;22;5.81
4184;1991;21;-12.23
4184;1991;22;9.46
4191;1991;21;-6.04
4191;1991;22;4.70
4192;1991;21;-10.10
4192;1991;22;10.43
4193;1991;21;-5.60
4193;1991;22;9.81
4194;1991;21;-12.85
4194;1991;22;14.23
4195;1991;21;-8.99
4195;1991;22;9.74
4196;1991;21;-8.91
4196;1991;22;8.91
4197;1991;21;-10.48
4197;1991;22;9.86
4198;1991;21;-7.17
4198;1991;22;6.35
4199;1991;21;-11.55
4199;1991;22;8.70
4200;1991;21;-12.92
4200;1991;22;9.18
4201;1991;21;-0.13
4201;1991;22;8.17
4202;1991;21;-7.77
4202;1991;22;11.06
4203;1991;21;-2.79
4203;1991;22;10.28
4204;1991;21;-6.91
4204;1991;22;6.30
4205;1991;21;-8.93
4205;1991;22;5.91
4206;1991;21;-7.92
4206;1991;22;8.59
4207;1991;21;-9.48
4207;1991;22;6.38
4208;1991;21;-8.02
4208;1991;22;13.42
4209;1991;21;-11.90
4209;1991;22;9.38
4210;1991;21;-6.72
4210;1991;22;8.45
4221;1991;21;-16.23
4221;1991;22;13.64
4222;1991;21;-11.12
4222;1991;22;7.94
4223;1991;21;-10.85
4223;1991;22;12.50
4224;1991;21;-14.02
4224;1991;22;16.98
4226;1991;21;-11.58
4226;1991;22;10.08
4227;1991;21;-12.06
4227;1991;22;9.95
4228;1991;21;-9.68
4228;1991;22;10.12
4229;1991;21;-12.65
4229;1991;22;10.45
4230;1991;21;-5.90
4230;1991;22;5.54
4231;1991;21;-6.53
4231;1991;22;9.66
4232;1991;21;-10.55
4232;1991;22;12.08
4233;1991;21;-12.88
4233;1991;22;11.95
4234;1991;21;-7.05
4234;1991;22;8.95
4235;1991;21;-9.77
4235;1991;22;12.09
4236;1991;21;-5.66
4236;1991;22;8.83
4237;1991;21;-8.03
4237;1991;22;8.27
4238;1991;21;-7.73
4238;1991;22;4.41
4239;1991;21;-8.04
4239;1991;22;9.23
4240;1991;21;-8.60
4240;1991;22;7.70
4251;1991;21;-14.86
4251;1991;22;4.49
4252;1991;21;2.25
4252;1991;22;-5.37
4253;1991;21;5.70
4253;1991;22;-1.64
4254;1991;21;-1.07
4254;1991;22;-2.02
4255;1991;21;-7.07
4255;1991;22;-0.14
4256;1991;21;-0.72
4256;1991;22;-2.96
4257;1991;21;4.17
4257;1991;22;-3.78
4258;1991;21;4.86
4258;1991;22;-3.57
4259;1991;21;-13.17
4259;1991;22;8.37
4260;1991;21;-2.48
4260;1991;22;1.09
4261;1991;21;-3.74
4261;1991;22;3.45
4262;1991;21;-12.81
4262;1991;22;5.02
4263;1991;21;-0.92
4263;1991;22;-2.28
4264;1991;21;-9.26
4264;1991;22;1.01
4271;1991;21;-3.40
4271;1991;22;0.65
4272;1991;21;-16.62
4272;1991;22;12.01
4273;1991;21;-11.37
4273;1991;22;9.33
4274;1991;21;-11.48
4274;1991;22;3.31
4275;1991;21;-16.99
4275;1991;22;12.91
4276;1991;21;-9.48
4276;1991;22;6.49
4277;1991;21;-18.74
4277;1991;22;12.01
4279;1991;21;-9.58
4279;1991;22;7.24
4280;1991;21;-7.47
4280;1991;22;1.96
4281;1991;21;-17.69
4281;1991;22;10.61
4282;1991;21;-8.31
4282;1991;22;3.60
4283;1991;21;-13.08
4283;1991;22;4.55
4284;1991;21;-15.69
4284;1991;22;12.76
4285;1991;21;-8.93
4285;1991;22;2.28
4286;1991;21;-14.48
4286;1991;22;8.27
4287;1991;21;-10.30
4287;1991;22;1.18
4288;1991;21;-23.17
4288;1991;22;14.04
4289;1991;21;-2.78
4289;1991;22;4.94
4301;1991;21;-12.38
4301;1991;22;9.65
4302;1991;21;-14.11
4302;1991;22;11.41
4303;1991;21;-7.18
4303;1991;22;11.16
4304;1991;21;-5.69
4304;1991;22;9.91
4305;1991;21;-1.57
4305;1991;22;5.38
4306;1991;21;-8.65
4306;1991;22;8.36
4307;1991;21;-10.50
4307;1991;22;5.08
4308;1991;21;4.20
4308;1991;22;-1.32
4309;1991;21;-2.56
4309;1991;22;8.83
4310;1991;21;-7.55
4310;1991;22;2.66
4311;1991;21;-9.83
4311;1991;22;13.09
4312;1991;21;-4.99
4312;1991;22;9.22
4313;1991;21;-10.13
4313;1991;22;12.48
4314;1991;21;-6.29
4314;1991;22;-3.42
4315;1991;21;-4.31
4315;1991;22;2.38
4316;1991;21;-5.51
4316;1991;22;8.63
4317;1991;21;-10.40
4317;1991;22;7.08
4318;1991;21;-4.46
4318;1991;22;7.36
4319;1991;21;-10.47
4319;1991;22;8.98
4320;1991;21;-5.26
4320;1991;22;13.56
4322;1991;21;-4.21
4322;1991;22;8.92
4323;1991;21;-0.41
4323;1991;22;7.35
4401;1991;21;-2.30
4401;1991;22;-1.67
4406;1991;21;-17.81
4406;1991;22;1.52
4411;1991;21;-6.43
4411;1991;22;6.21
4416;1991;21;-13.33
4416;1991;22;5.19
4421;1991;21;-0.66
4421;1991;22;3.94
4426;1991;21;-3.57
4426;1991;22;6.41
4431;1991;21;-7.48
4431;1991;22;6.77
4436;1991;21;-4.07
4436;1991;22;-1.05
4441;1991;21;-8.62
4441;1991;22;-1.76
4446;1991;21;-12.31
4446;1991;22;8.70
4451;1991;21;-6.86
4451;1991;22;3.88
4461;1991;21;-5.51
4461;1991;22;5.27
4471;1991;21;-6.19
4471;1991;22;8.01
4476;1991;21;-6.89
4476;1991;22;7.56
4486;1991;21;-11.04
4486;1991;22;8.61
4495;1991;21;-11.60
4495;1991;22;12.07
4501;1991;21;-7.65
4501;1991;22;7.31
4506;1991;21;-6.72
4506;1991;22;9.08
4511;1991;21;-10.94
4511;1991;22;11.73
4536;1991;21;-9.33
4536;1991;22;8.10
4545;1991;21;-5.99
4545;1991;22;5.31
4546;1991;21;-9.20
4546;1991;22;8.13
4551;1991;21;-3.77
4551;1991;22;7.30
4561;1991;21;-6.53
4561;1991;22;5.45
4566;1991;21;-1.80
4566;1991;22;4.73
4571;1991;21;-5.33
4571;1991;22;7.33
4590;1991;21;-12.69
4590;1991;22;8.41
4591;1991;21;-8.03
4591;1991;22;8.25
4601;1991;21;-6.10
4601;1991;22;10.08
4606;1991;21;-2.16
4606;1991;22;8.22
4611;1991;21;-9.16
4611;1991;22;8.37
4616;1991;21;-8.24
4616;1991;22;11.07
4621;1991;21;-8.51
4621;1991;22;11.23
4641;1991;21;-2.99
4641;1991;22;6.09
4643;1991;21;0.27
4643;1991;22;6.00
4646;1991;21;-6.43
4646;1991;22;9.56
4651;1991;21;-3.58
4651;1991;22;7.96
4656;1991;21;-8.49
4656;1991;22;11.28
4666;1991;21;-13.60
4666;1991;22;10.46
4671;1991;21;-0.72
4671;1991;22;1.81
4681;1991;21;-8.95
4681;1991;22;11.99
4683;1991;21;-7.56
4683;1991;22;6.28
4691;1991;21;-2.03
4691;1991;22;5.01
4696;1991;21;-2.91
4696;1991;22;6.48
4701;1991;21;-14.69
4701;1991;22;15.62
4711;1991;21;-12.06
4711;1991;22;11.67
4716;1991;21;-12.66
4716;1991;22;12.79
4721;1991;21;-7.71
4721;1991;22;7.99
4723;1991;21;-15.46
4723;1991;22;9.38
4724;1991;21;-6.17
4724;1991;22;6.47
4726;1991;21;-10.39
4726;1991;22;10.52
4741;1991;21;-13.17
4741;1991;22;12.75
4746;1991;21;-6.80
4746;1991;22;9.22
4751;1991;21;-8.04
4751;1991;22;5.88
4756;1991;21;-14.06
4756;1991;22;12.07
4761;1991;21;-6.49
4761;1991;22;6.23
4776;1991;21;-15.62
4776;1991;22;9.62
4781;1991;21;-7.02
4781;1991;22;10.94
4786;1991;21;-7.87
4786;1991;22;5.34
4791;1991;21;-13.23
4791;1991;22;9.10
4801;1991;21;-8.28
4801;1991;22;4.66
4806;1991;21;-10.63
4806;1991;22;8.69
4811;1991;21;-4.57
4811;1991;22;13.56
4816;1991;21;-10.06
4816;1991;22;11.92
4821;1991;21;-5.93
4821;1991;22;11.26
4826;1991;21;-6.54
4826;1991;22;9.20
4831;1991;21;-7.14
4831;1991;22;9.99
4841;1991;21;-9.77
4841;1991;22;10.71
4846;1991;21;-16.73
4846;1991;22;13.76
4851;1991;21;-7.73
4851;1991;22;12.98
4864;1991;21;-6.54
4864;1991;22;7.99
4871;1991;21;-7.91
4871;1991;22;5.26
4881;1991;21;-13.64
4881;1991;22;13.07
4891;1991;21;-8.91
4891;1991;22;11.74
4901;1991;21;-11.78
4901;1991;22;8.04
4911;1991;21;-8.80
4911;1991;22;9.33
4921;1991;21;-10.41
4921;1991;22;9.54
4941;1991;21;-6.98
4941;1991;22;10.53
4946;1991;21;-3.54
4946;1991;22;6.28
4951;1991;21;-10.41
4951;1991;22;12.31
5001;1991;21;-5.01
5001;1991;22;-16.31
5002;1991;21;-0.02
5002;1991;22;-12.08
5003;1991;21;-5.21
5003;1991;22;-5.40
5004;1991;21;-2.58
5004;1991;22;-13.86
5005;1991;21;-1.53
5005;1991;22;-10.99
5006;1991;21;-1.34
5006;1991;22;-11.95
5007;1991;21;-3.25
5007;1991;22;-11.99
5008;1991;21;-5.58
5008;1991;22;-6.72
5009;1991;21;-13.38
5009;1991;22;-2.88
5010;1991;21;-2.65
5010;1991;22;-11.61
5012;1991;21;-14.91
5012;1991;22;-18.47
5013;1991;21;-4.11
5013;1991;22;-12.38
5014;1991;21;2.50
5014;1991;22;-7.32
5015;1991;21;-5.76
5015;1991;22;-8.38
5017;1991;21;-8.61
5017;1991;22;-11.18
5018;1991;21;-2.89
5018;1991;22;-6.79
5019;1991;21;0.38
5019;1991;22;-10.40
5048;1991;21;-5.52
5048;1991;22;-7.84
5049;1991;21;-8.52
5049;1991;22;-6.00
5050;1991;21;-6.71
5050;1991;22;-11.26
5061;1991;21;-9.82
5061;1991;22;1.05
5063;1991;21;-6.87
5063;1991;22;-4.09
5064;1991;21;-1.76
5064;1991;22;-13.45
5071;1991;21;-5.24
5071;1991;22;-0.15
5072;1991;21;-4.80
5072;1991;22;-5.06
5073;1991;21;-3.42
5073;1991;22;-16.28
5076;1991;21;-1.25
5076;1991;22;-8.38
5077;1991;21;-6.94
5077;1991;22;-19.05
5078;1991;21;-3.86
5078;1991;22;-9.95
5079;1991;21;-4.58
5079;1991;22;-1.73
5081;1991;21;-3.36
5081;1991;22;-1.44
5091;1991;21;-0.77
5091;1991;22;-3.67
5095;1991;21;-7.00
5095;1991;22;-6.93
5096;1991;21;-2.28
5096;1991;22;-6.92
5097;1991;21;-3.45
5097;1991;22;-12.15
5102;1991;21;1.55
5102;1991;22;-7.39
5105;1991;21;-11.66
5105;1991;22;-19.15
5108;1991;21;-4.76
5108;1991;22;-9.01
5109;1991;21;-3.47
5109;1991;22;-6.47
5112;1991;21;-7.54
5112;1991;22;-6.66
5113;1991;21;-1.96
5113;1991;22;-12.01
5115;1991;21;-2.37
5115;1991;22;-10.88
5117;1991;21;-3.30
5117;1991;22;-14.24
5118;1991;21;-1.62
5118;1991;22;-7.57
5119;1991;21;-5.02
5119;1991;22;-29.23
5120;1991;21;-2.08
5120;1991;22;-4.34
5121;1991;21;4.53
5121;1991;22;-1.08
5125;1991;21;-3.06
5125;1991;22;-8.10
5129;1991;21;-3.17
5129;1991;22;-12.23
5131;1991;21;-2.36
5131;1991;22;-9.90
5132;1991;21;-5.01
5132;1991;22;3.50
5135;1991;21;-8.82
5135;1991;22;-17.04
5136;1991;21;-2.72
5136;1991;22;-22.56
5137;1991;21;2.25
5137;1991;22;-17.35
5138;1991;21;-5.17
5138;1991;22;-9.47
5141;1991;21;-3.45
5141;1991;22;-9.33
5143;1991;21;2.48
5143;1991;22;-13.43
5144;1991;21;-4.16
5144;1991;22;-17.75
5146;1991;21;-0.33
5146;1991;22;-5.58
5148;1991;21;-4.85
5148;1991;22;-14.37
5149;1991;21;-0.94
5149;1991;22;-16.30
5151;1991;21;-3.03
5151;1991;22;-8.75
5154;1991;21;0.28
5154;1991;22;-6.68
5160;1991;21;-3.08
5160;1991;22;-9.84
5161;1991;21;-1.94
5161;1991;22;-5.58
5162;1991;21;-5.87
5162;1991;22;-9.80
5167;1991;21;-6.19
5167;1991;22;-13.86
5171;1991;21;-3.78
5171;1991;22;-11.19
5176;1991;21;-0.71
5176;1991;22;-10.24
5178;1991;21;-1.70
5178;1991;22;-10.86
5180;1991;21;3.95
5180;1991;22;-6.18
5181;1991;21;0.36
5181;1991;22;-12.38
5186;1991;21;-8.77
5186;1991;22;-13.70
5187;1991;21;-2.85
5187;1991;22;-6.81
5189;1991;21;-7.16
5189;1991;22;-11.24
5192;1991;21;-1.84
5192;1991;22;-9.24
5193;1991;21;-3.25
5193;1991;22;-9.00
5194;1991;21;-0.51
5194;1991;22;-9.91
5195;1991;21;-3.94
5195;1991;22;-6.23
5196;1991;21;2.05
5196;1991;22;-7.74
5197;1991;21;-4.78
5197;1991;22;-11.37
5198;1991;21;0.09
5198;1991;22;-8.48
5199;1991;21;-6.47
5199;1991;22;-7.15
5200;1991;21;-4.00
5200;1991;22;-21.15
5202;1991;21;-7.33
5202;1991;22;-10.44
5203;1991;21;1.29
5203;1991;22;-5.37
5205;1991;21;0.97
5205;1991;22;-12.00
5206;1991;21;-0.09
5206;1991;22;-5.90
5207;1991;21;-1.55
5207;1991;22;-11.40
5208;1991;21;0.83
5208;1991;22;-11.24
5210;1991;21;-2.74
5210;1991;22;-7.13
5212;1991;21;1.07
5212;1991;22;-9.40
5213;1991;21;-3.70
5213;1991;22;-4.75
5214;1991;21;0.09
5214;1991;22;-3.79
5216;1991;21;-3.62
5216;1991;22;-9.57
5219;1991;21;1.27
5219;1991;22;-16.74
5221;1991;21;-0.27
5221;1991;22;-7.56
5222;1991;21;-3.15
5222;1991;22;-11.32
5225;1991;21;3.26
5225;1991;22;-7.49
5226;1991;21;-4.18
5226;1991;22;-13.82
5227;1991;21;-4.64
5227;1991;22;-13.65
5230;1991;21;-1.81
5230;1991;22;-6.24
5231;1991;21;-4.20
5231;1991;22;-7.43
5233;1991;21;5.93
5233;1991;22;-12.03
5236;1991;21;1.47
5236;1991;22;-4.09
5237;1991;21;-1.72
5237;1991;22;-10.44
5238;1991;21;-7.42
5238;1991;22;-7.18
5242;1991;21;-2.50
5242;1991;22;-17.49
5249;1991;21;-3.19
5249;1991;22;-11.09
5250;1991;21;-2.20
5250;1991;22;-13.47
5251;1991;21;-5.07
5251;1991;22;-17.14
5254;1991;21;-1.18
5254;1991;22;-11.79
5257;1991;21;-2.77
5257;1991;22;-12.59
5260;1991;21;-4.33
5260;1991;22;-13.74
5263;1991;21;-5.90
5263;1991;22;-13.35
5266;1991;21;-3.37
5266;1991;22;-15.52
5268;1991;21;0.38
5268;1991;22;-12.58
5269;1991;21;-1.85
5269;1991;22;-11.67
5281;1991;21;-7.07
5281;1991;22;-16.31
5282;1991;21;-5.00
5282;1991;22;-12.92
5283;1991;21;-14.19
5283;1991;22;-9.09
5284;1991;21;-6.38
5284;1991;22;-17.75
5285;1991;21;-6.19
5285;1991;22;-9.55
5286;1991;21;-6.01
5286;1991;22;-7.08
5304;1991;21;-5.11
5304;1991;22;-6.99
5307;1991;21;-13.59
5307;1991;22;-4.38
5309;1991;21;-11.68
5309;1991;22;-25.48
5310;1991;21;-1.26
5310;1991;22;-12.78
5315;1991;21;-2.32
5315;1991;22;-8.03
5317;1991;21;-2.21
5317;1991;22;-11.20
5323;1991;21;-10.01
5323;1991;22;-7.01
5324;1991;21;-3.93
5324;1991;22;-16.74
5396;1991;21;-0.94
5396;1991;22;-15.97
5397;1991;21;-6.17
5397;1991;22;-18.42
5398;1991;21;-3.17
5398;1991;22;-9.33
5401;1991;21;3.32
5401;1991;22;1.36
5402;1991;21;3.14
5402;1991;22;-2.13
5403;1991;21;8.87
5403;1991;22;4.36
5404;1991;21;0.53
5404;1991;22;-1.42
5405;1991;21;5.65
5405;1991;22;-0.83
5406;1991;21;-0.52
5406;1991;22;1.12
5407;1991;21;8.93
5407;1991;22;-2.31
5408;1991;21;1.59
5408;1991;22;3.50
5409;1991;21;3.98
5409;1991;22;-1.61
5410;1991;21;-1.99
5410;1991;22;6.21
5411;1991;21;0.76
5411;1991;22;6.59
5412;1991;21;1.21
5412;1991;22;-1.02
5413;1991;21;1.53
5413;1991;22;-1.77
5414;1991;21;1.70
5414;1991;22;-0.15
5415;1991;21;5.23
5415;1991;22;3.02
5421;1991;21;10.68
5421;1991;22;-0.16
5422;1991;21;11.21
5422;1991;22;1.97
5423;1991;21;6.60
5423;1991;22;8.88
5424;1991;21;12.22
5424;1991;22;0.37
5425;1991;21;3.64
5425;1991;22;8.54
5426;1991;21;10.65
5426;1991;22;6.05
5427;1991;21;8.60
5427;1991;22;6.31
5428;1991;21;3.28
5428;1991;22;4.71
5429;1991;21;5.90
5429;1991;22;5.81
5430;1991;21;13.44
5430;1991;22;10.34
5431;1991;21;-3.15
5431;1991;22;5.85
5432;1991;21;9.77
5432;1991;22;4.21
5434;1991;21;7.76
5434;1991;22;2.01
5435;1991;21;-0.65
5435;1991;22;1.45
5436;1991;21;8.04
5436;1991;22;11.30
5437;1991;21;0.45
5437;1991;22;0.54
5451;1991;21;4.77
5451;1991;22;3.90
5456;1991;21;3.04
5456;1991;22;5.75
5458;1991;21;1.93
5458;1991;22;1.82
5464;1991;21;4.61
5464;1991;22;12.23
5471;1991;21;10.98
5471;1991;22;9.29
5472;1991;21;6.46
5472;1991;22;5.99
5473;1991;21;8.07
5473;1991;22;-0.22
5474;1991;21;11.27
5474;1991;22;-0.99
5475;1991;21;10.55
5475;1991;22;-2.19
5476;1991;21;10.30
5476;1991;22;5.21
5477;1991;21;10.23
5477;1991;22;-2.15
5478;1991;21;7.57
5478;1991;22;3.49
5479;1991;21;10.01
5479;1991;22;11.64
5480;1991;21;3.90
5480;1991;22;0.96
5481;1991;21;7.25
5481;1991;22;-5.41
5482;1991;21;6.58
5482;1991;22;3.57
5483;1991;21;13.81
5483;1991;22;-2.33
5484;1991;21;8.77
5484;1991;22;4.35
5485;1991;21;12.40
5485;1991;22;6.50
5486;1991;21;4.56
5486;1991;22;0.90
5487;1991;21;0.70
5487;1991;22;2.65
5488;1991;21;10.70
5488;1991;22;-0.82
5489;1991;21;11.87
5489;1991;22;3.24
5490;1991;21;7.68
5490;1991;22;2.42
5491;1991;21;0.46
5491;1991;22;-0.74
5492;1991;21;7.76
5492;1991;22;3.13
5493;1991;21;4.46
5493;1991;22;6.17
5494;1991;21;11.56
5494;1991;22;1.93
5495;1991;21;10.44
5495;1991;22;-3.34
5496;1991;21;6.16
5496;1991;22;-3.40
5497;1991;21;11.28
5497;1991;22;2.57
5498;1991;21;8.49
5498;1991;22;2.63
5499;1991;21;8.68
5499;1991;22;7.37
5500;1991;21;3.67
5500;1991;22;8.90
5501;1991;21;8.83
5501;1991;22;5.50
5503;1991;21;11.77
5503;1991;22;-3.36
5511;1991;21;12.43
5511;1991;22;0.49
5512;1991;21;10.54
5512;1991;22;5.37
5513;1991;21;3.23
5513;1991;22;7.00
5514;1991;21;9.65
5514;1991;22;2.07
5515;1991;21;7.10
5515;1991;22;1.31
5516;1991;21;10.67
5516;1991;22;0.28
5518;1991;21;9.49
5518;1991;22;-0.93
5520;1991;21;2.98
5520;1991;22;4.63
5521;1991;21;6.98
5521;1991;22;-0.54
5522;1991;21;5.36
5522;1991;22;-0.56
5523;1991;21;8.55
5523;1991;22;-3.60
5527;1991;21;6.52
5527;1991;22;-3.83
5529;1991;21;8.46
5529;1991;22;7.36
5530;1991;21;4.44
5530;1991;22;7.74
5531;1991;21;10.34
5531;1991;22;7.55
5533;1991;21;7.23
5533;1991;22;3.83
5534;1991;21;9.14
5534;1991;22;9.16
5535;1991;21;3.89
5535;1991;22;-5.48
5537;1991;21;4.19
5537;1991;22;4.99
5539;1991;21;4.18
5539;1991;22;11.24
5540;1991;21;11.11
5540;1991;22;3.21
5541;1991;21;4.25
5541;1991;22;8.43
5551;1991;21;4.88
5551;1991;22;3.60
5552;1991;21;3.87
5552;1991;22;0.69
5553;1991;21;4.43
5553;1991;22;5.62
5554;1991;21;2.92
5554;1991;22;2.91
5555;1991;21;6.28
5555;1991;22;-0.25
5556;1991;21;4.98
5556;1991;22;5.33
5557;1991;21;-2.32
5557;1991;22;10.11
5559;1991;21;4.42
5559;1991;22;5.77
5560;1991;21;3.22
5560;1991;22;3.36
5561;1991;21;8.69
5561;1991;22;2.88
5562;1991;21;-0.13
5562;1991;22;1.93
5563;1991;21;1.74
5563;1991;22;0.20
5564;1991;21;-0.48
5564;1991;22;7.07
5565;1991;21;6.44
5565;1991;22;2.83
5566;1991;21;1.07
5566;1991;22;-6.54
5568;1991;21;3.99
5568;1991;22;-4.30
5571;1991;21;6.88
5571;1991;22;-3.24
5581;1991;21;11.04
5581;1991;22;-0.85
5582;1991;21;9.33
5582;1991;22;-4.32
5583;1991;21;7.14
5583;1991;22;-2.57
5584;1991;21;11.95
5584;1991;22;-3.59
5585;1991;21;15.18
5585;1991;22;3.29
5586;1991;21;8.68
5586;1991;22;-8.66
5587;1991;21;11.89
5587;1991;22;2.31
