gnr;jahr;dim;wert
178;1981;21;-0.90
178;1981;22;6.51
180;1981;21;-2.00
180;1981;22;6.68
181;1981;21;-8.41
181;1981;22;5.15
182;1981;21;-9.07
182;1981;22;10.02
191;1981;21;3.16
191;1981;22;-3.38
192;1981;21;5.65
192;1981;22;0.14
193;1981;21;11.23
193;1981;22;-2.48
194;1981;21;12.02
194;1981;22;-4.15
195;1981;21;10.34
195;1981;22;3.34
196;1981;21;5.28
196;1981;22;-2.42
197;1981;21;7.09
197;1981;22;-2.58
198;1981;21;0.14
198;1981;22;-2.41
199;1981;21;4.16
199;1981;22;-1.31
200;1981;21;0.85
200;1981;22;0.96
211;1981;21;-7.63
211;1981;22;16.49
213;1981;21;6.66
213;1981;22;8.19
214;1981;21;-7.64
214;1981;22;6.88
215;1981;21;-0.34
215;1981;22;-0.83
216;1981;21;-2.13
216;1981;22;6.58
217;1981;21;-3.62
217;1981;22;6.36
218;1981;21;-15.61
218;1981;22;9.33
219;1981;21;-3.22
219;1981;22;3.41
220;1981;21;-10.79
220;1981;22;12.08
221;1981;21;3.73
221;1981;22;7.97
222;1981;21;-11.10
222;1981;22;15.15
223;1981;21;-3.42
223;1981;22;6.66
224;1981;21;-0.39
224;1981;22;0.84
225;1981;21;-3.45
225;1981;22;5.66
226;1981;21;-5.61
226;1981;22;5.12
227;1981;21;2.09
227;1981;22;6.54
228;1981;21;-11.78
228;1981;22;3.93
230;1981;21;-1.33
230;1981;22;-2.28
231;1981;21;-7.71
231;1981;22;3.47
241;1981;21;7.42
241;1981;22;8.52
242;1981;21;6.98
242;1981;22;3.23
243;1981;21;-0.33
243;1981;22;-2.67
244;1981;21;3.49
244;1981;22;-0.69
245;1981;21;6.21
245;1981;22;-2.04
246;1981;21;4.89
246;1981;22;6.96
247;1981;21;-0.30
247;1981;22;-4.93
248;1981;21;11.70
248;1981;22;11.17
249;1981;21;5.24
249;1981;22;5.58
250;1981;21;3.03
250;1981;22;-4.66
251;1981;21;7.10
251;1981;22;2.83
261;1981;21;3.92
261;1981;22;-8.06
297;1981;21;-9.32
297;1981;22;4.27
298;1981;21;-2.66
298;1981;22;8.29
301;1981;21;-0.60
301;1981;22;8.42
302;1981;21;-4.82
302;1981;22;4.00
303;1981;21;-3.63
303;1981;22;6.29
304;1981;21;-4.87
304;1981;22;11.56
305;1981;21;-7.16
305;1981;22;5.79
306;1981;21;-0.53
306;1981;22;4.20
307;1981;21;4.58
307;1981;22;3.74
309;1981;21;-6.56
309;1981;22;6.10
310;1981;21;-3.47
310;1981;22;8.39
311;1981;21;0.51
311;1981;22;6.39
312;1981;21;-4.99
312;1981;22;9.90
321;1981;21;-6.46
321;1981;22;-0.72
322;1981;21;-20.38
322;1981;22;5.86
323;1981;21;-12.39
323;1981;22;-1.09
324;1981;21;-14.14
324;1981;22;1.65
325;1981;21;-16.01
325;1981;22;8.35
326;1981;21;-11.79
326;1981;22;9.20
329;1981;21;-1.04
329;1981;22;2.09
331;1981;21;-7.66
331;1981;22;4.59
332;1981;21;-11.09
332;1981;22;6.74
333;1981;21;-12.01
333;1981;22;5.25
334;1981;21;-11.30
334;1981;22;7.93
335;1981;21;-18.94
335;1981;22;8.28
336;1981;21;-14.68
336;1981;22;8.32
337;1981;21;-9.43
337;1981;22;0.22
338;1981;21;-13.43
338;1981;22;2.22
339;1981;21;-16.33
339;1981;22;14.46
340;1981;21;-13.58
340;1981;22;-0.92
341;1981;21;-8.50
341;1981;22;-0.44
342;1981;21;-8.37
342;1981;22;-0.52
344;1981;21;-10.73
344;1981;22;11.95
345;1981;21;-12.21
345;1981;22;-1.95
351;1981;21;3.03
351;1981;22;-5.03
352;1981;21;8.80
352;1981;22;3.04
353;1981;21;8.46
353;1981;22;2.37
354;1981;21;8.21
354;1981;22;3.62
355;1981;21;3.58
355;1981;22;0.85
356;1981;21;8.50
356;1981;22;6.14
357;1981;21;-15.58
357;1981;22;6.58
358;1981;21;8.19
358;1981;22;7.60
359;1981;21;1.28
359;1981;22;4.54
360;1981;21;7.45
360;1981;22;3.21
361;1981;21;5.48
361;1981;22;0.16
362;1981;21;5.39
362;1981;22;-0.75
363;1981;21;3.09
363;1981;22;-2.54
371;1981;21;2.49
371;1981;22;-6.54
372;1981;21;14.70
372;1981;22;2.19
381;1981;21;-7.83
381;1981;22;6.34
382;1981;21;-5.24
382;1981;22;-0.44
383;1981;21;-2.70
383;1981;22;6.56
385;1981;21;-8.57
385;1981;22;9.99
386;1981;21;-2.05
386;1981;22;-2.99
387;1981;21;-4.49
387;1981;22;-1.48
388;1981;21;-9.50
388;1981;22;4.16
389;1981;21;-2.61
389;1981;22;7.62
390;1981;21;-4.81
390;1981;22;4.17
391;1981;21;-1.90
391;1981;22;11.83
392;1981;21;-2.36
392;1981;22;4.47
393;1981;21;-10.45
393;1981;22;4.76
394;1981;21;-6.19
394;1981;22;10.15
401;1981;21;-11.61
401;1981;22;2.24
402;1981;21;-14.91
402;1981;22;10.21
403;1981;21;-5.12
403;1981;22;1.78
404;1981;21;-1.66
404;1981;22;-0.38
405;1981;21;-6.49
405;1981;22;4.61
406;1981;21;-11.57
406;1981;22;6.86
407;1981;21;-10.04
407;1981;22;5.42
408;1981;21;-12.05
408;1981;22;9.64
409;1981;21;-3.26
409;1981;22;4.55
410;1981;21;-12.13
410;1981;22;9.34
411;1981;21;-6.58
411;1981;22;6.59
412;1981;21;-2.73
412;1981;22;3.94
413;1981;21;-5.48
413;1981;22;4.69
414;1981;21;-7.65
414;1981;22;4.28
415;1981;21;-9.49
415;1981;22;1.64
416;1981;21;-1.29
416;1981;22;6.14
417;1981;21;-6.90
417;1981;22;11.47
418;1981;21;-9.99
418;1981;22;2.12
419;1981;21;-6.56
419;1981;22;11.82
420;1981;21;-5.81
420;1981;22;1.90
421;1981;21;-5.54
421;1981;22;15.11
422;1981;21;-1.29
422;1981;22;6.14
423;1981;21;-15.91
423;1981;22;4.84
424;1981;21;-9.65
424;1981;22;7.38
431;1981;21;-5.27
431;1981;22;-5.34
432;1981;21;1.99
432;1981;22;0.04
433;1981;21;-3.64
433;1981;22;-7.86
434;1981;21;4.86
434;1981;22;-3.57
435;1981;21;-5.87
435;1981;22;4.72
437;1981;21;4.28
437;1981;22;-6.69
438;1981;21;3.78
438;1981;22;-6.03
441;1981;21;4.28
441;1981;22;-3.46
442;1981;21;-5.44
442;1981;22;-8.09
443;1981;21;3.50
443;1981;22;-4.83
444;1981;21;4.18
444;1981;22;-7.56
445;1981;21;1.02
445;1981;22;0.69
446;1981;21;4.36
446;1981;22;-6.66
448;1981;21;4.50
448;1981;22;-10.27
449;1981;21;-5.20
449;1981;22;-6.80
450;1981;21;3.70
450;1981;22;-1.57
491;1981;21;-5.27
491;1981;22;12.37
492;1981;21;6.90
492;1981;22;5.53
493;1981;21;-8.74
493;1981;22;17.22
494;1981;21;-6.34
494;1981;22;8.44
495;1981;21;-5.94
495;1981;22;11.77
496;1981;21;3.06
496;1981;22;7.49
497;1981;21;-7.57
497;1981;22;8.48
498;1981;21;-8.35
498;1981;22;19.35
499;1981;21;-7.41
499;1981;22;18.24
500;1981;21;-6.63
500;1981;22;23.22
501;1981;21;1.59
501;1981;22;1.11
502;1981;21;-2.56
502;1981;22;9.28
532;1981;21;-1.29
532;1981;22;14.19
533;1981;21;-2.32
533;1981;22;-2.52
535;1981;21;-1.20
535;1981;22;13.82
536;1981;21;-0.94
536;1981;22;7.11
538;1981;21;-0.61
538;1981;22;7.92
540;1981;21;2.74
540;1981;22;3.57
541;1981;21;-5.18
541;1981;22;8.79
543;1981;21;1.06
543;1981;22;8.12
544;1981;21;0.91
544;1981;22;-2.05
546;1981;21;5.56
546;1981;22;-1.51
551;1981;21;1.33
551;1981;22;1.38
552;1981;21;-7.05
552;1981;22;5.96
553;1981;21;-1.37
553;1981;22;14.73
554;1981;21;-6.86
554;1981;22;1.84
556;1981;21;-10.74
556;1981;22;0.32
557;1981;21;4.50
557;1981;22;10.89
561;1981;21;-15.99
561;1981;22;16.58
562;1981;21;-7.07
562;1981;22;11.19
563;1981;21;-13.47
563;1981;22;11.37
564;1981;21;-18.86
564;1981;22;7.68
565;1981;21;-5.18
565;1981;22;9.32
566;1981;21;-6.31
566;1981;22;3.33
567;1981;21;-13.24
567;1981;22;12.40
571;1981;21;-7.25
571;1981;22;8.42
572;1981;21;-7.68
572;1981;22;-2.28
573;1981;21;-6.96
573;1981;22;5.86
574;1981;21;-11.68
574;1981;22;5.87
