"jahr";"kt";"Partei";"Wert"
1991;"SO";"3";19,803312
1995;"SO";"3";24,234037
1999;"SO";"3";27,195191
2003;"SO";"3";25,367359
2007;"SO";"3";19,456949
2011;"SO";"3";18,302264
1971;"SZ";"3";28,977749
1975;"SZ";"3";29,336434
1979;"SZ";"3";22,600955
1983;"SZ";"3";21,000673
1987;"SZ";"3";14,287257
1991;"SZ";"3";19,366362
1995;"SZ";"3";19,899746
1999;"SZ";"3";16,371695
2003;"SZ";"3";17,558887
2007;"SZ";"3";13,923647
2011;"SZ";"3";15,65867
1971;"TG";"3";20,685695
1975;"TG";"3";21,577902
1979;"TG";"3";22,421964
1983;"TG";"3";19,513352
1987;"TG";"3";13,450383
1991;"TG";"3";15,148828
1995;"TG";"3";18,114344
1999;"TG";"3";16,076641
2003;"TG";"3";14,090681
2007;"TG";"3";11,672384
2011;"TG";"3";12,057458
1971;"TI";"3";13,130327
1975;"TI";"3";13,905737
1979;"TI";"3";15,243655
1983;"TI";"3";13,788409
1987;"TI";"3";9,274935
1991;"TI";"3";6,73208
1995;"TI";"3";17,063007
1999;"TI";"3";18,762116
2003;"TI";"3";25,830959
2007;"TI";"3";18,111633
2011;"TI";"3";16,605693
1971;"UR";"3";0
1975;"UR";"3";0
1979;"UR";"3";23,023154
1983;"UR";"3";0
1987;"UR";"3";0
1991;"UR";"3";0
1995;"UR";"3";0
1999;"UR";"3";0
2003;"UR";"3";0
2007;"UR";"3";0
2011;"UR";"3";21,432132
1971;"VD";"3";25,01792
1975;"VD";"3";27,592908
1979;"VD";"3";24,909595
1983;"VD";"3";21,868412
1987;"VD";"3";22,55439
1991;"VD";"3";22,925367
1995;"VD";"3";22,704126
1999;"VD";"3";22,387247
2003;"VD";"3";21,734812
2007;"VD";"3";21,997286
2011;"VD";"3";25,224929
1971;"VS";"3";15,437721
1975;"VS";"3";17,440059
1979;"VS";"3";11,568344
1983;"VS";"3";14,132769
1987;"VS";"3";14,525697
1991;"VS";"3";14,473167
1995;"VS";"3";16,612315
1999;"VS";"3";16,87704
2003;"VS";"3";19,083915
2007;"VS";"3";14,69574
2011;"VS";"3";14,616969
1971;"ZG";"3";0
1975;"ZG";"3";35,659931
1979;"ZG";"3";30,89285
1983;"ZG";"3";22,752119
1987;"ZG";"3";22,55838
1991;"ZG";"3";16,074631
1995;"ZG";"3";16,98319
1999;"ZG";"3";23,275175
2003;"ZG";"3";13,438964
2007;"ZG";"3";9,076211
2011;"ZG";"3";5,270031
1971;"ZH";"3";20,872989
1975;"ZH";"3";23,937024
1979;"ZH";"3";26,471614
1983;"ZH";"3";23,003869
1987;"ZH";"3";17,434522
1991;"ZH";"3";18,786314
1995;"ZH";"3";23,069259
1999;"ZH";"3";25,624458
2003;"ZH";"3";25,656347
2007;"ZH";"3";19,807326
2011;"ZH";"3";19,270225
1971;"AG";"4";12,45648
1975;"AG";"4";12,772413
1979;"AG";"4";13,888934
1983;"AG";"4";14,147444
1987;"AG";"4";15,659376
1991;"AG";"4";17,859492
1995;"AG";"4";19,811966
1999;"AG";"4";31,77132
2003;"AG";"4";34,565504
2007;"AG";"4";36,201343
2011;"AG";"4";34,857341
1971;"AI";"4";0
1975;"AI";"4";0
1979;"AI";"4";0
1983;"AI";"4";0
1987;"AI";"4";0
1991;"AI";"4";0
1995;"AI";"4";0
1999;"AI";"4";26,736402
2003;"AI";"4";0
2007;"AI";"4";0
2011;"AI";"4";0
1971;"AR";"4";0
1975;"AR";"4";0
1979;"AR";"4";0
1983;"AR";"4";0
1987;"AR";"4";0
1991;"AR";"4";0
1995;"AR";"4";22,004689
1999;"AR";"4";37,53345
2003;"AR";"4";38,302752
2007;"AR";"4";0
2011;"AR";"4";30,504192
1971;"BE";"4";31,196583
1975;"BE";"4";29,222418
1979;"BE";"4";31,863269
1983;"BE";"4";29,236917
1987;"BE";"4";28,07457
1991;"BE";"4";26,580504
1995;"BE";"4";26,042786
1999;"BE";"4";28,584054
2003;"BE";"4";29,647899
2007;"BE";"4";33,613346
2011;"BE";"4";29,009412
1971;"BL";"4";11,468505
1975;"BL";"4";10,261661
1979;"BL";"4";10,101904
1983;"BL";"4";10,949547
1987;"BL";"4";11,599252
1991;"BL";"4";12,082423
1995;"BL";"4";10,829005
1999;"BL";"4";18,0218
2003;"BL";"4";26,499745
2007;"BL";"4";28,544476
2011;"BL";"4";26,948514
1971;"BS";"4";0
1975;"BS";"4";0
1979;"BS";"4";0
1983;"BS";"4";0
1987;"BS";"4";0
1991;"BS";"4";1,987838
1995;"BS";"4";0
1999;"BS";"4";13,556999
2003;"BS";"4";18,628057
2007;"BS";"4";18,461486
2011;"BS";"4";16,545891
1971;"FR";"4";8,541689
1975;"FR";"4";4,235435
1979;"FR";"4";6,420146
1983;"FR";"4";8,849502
1987;"FR";"4";8,864838
1991;"FR";"4";9,692761
1995;"FR";"4";8,345311
1999;"FR";"4";11,417031
2003;"FR";"4";21,402179
2007;"FR";"4";22,041662
2011;"FR";"4";21,454895
1971;"GE";"4";0
1975;"GE";"4";0
1979;"GE";"4";0
1983;"GE";"4";0
1987;"GE";"4";0
1991;"GE";"4";1,110274
1995;"GE";"4";0
1999;"GE";"4";7,520031
2003;"GE";"4";18,662307
2007;"GE";"4";21,235151
2011;"GE";"4";16,073337
1971;"GL";"4";0
1975;"GL";"4";0
1979;"GL";"4";81,796085
1983;"GL";"4";92,31473
1987;"GL";"4";85,615578
1991;"GL";"4";42,791381
1995;"GL";"4";0
1999;"GL";"4";0
2003;"GL";"4";0
2007;"GL";"4";35,097709
2011;"GL";"4";0
1971;"GR";"4";34,031154
1975;"GR";"4";26,942308
1979;"GR";"4";21,105206
1983;"GR";"4";21,983479
1987;"GR";"4";19,964874
1991;"GR";"4";19,473266
1995;"GR";"4";26,945987
1999;"GR";"4";26,956695
2003;"GR";"4";33,770762
2007;"GR";"4";34,707885
2011;"GR";"4";24,468424
1971;"JU";"4";9,10996
1975;"JU";"4";6,580988
1979;"JU";"4";0,004191
1983;"JU";"4";2,070193
1987;"JU";"4";0,004477
1991;"JU";"4";0,005046
1995;"JU";"4";0,005043
1999;"JU";"4";7,235249
2003;"JU";"4";8,290457
2007;"JU";"4";13,69539
2011;"JU";"4";15,473932
1971;"LU";"4";0
1975;"LU";"4";0
1979;"LU";"4";0
1983;"LU";"4";0
1987;"LU";"4";0
1991;"LU";"4";0
1995;"LU";"4";14,137169
1999;"LU";"4";22,822637
2003;"LU";"4";22,98163
2007;"LU";"4";25,325037
2011;"LU";"4";25,14832
1971;"NE";"4";0
1975;"NE";"4";0
1979;"NE";"4";0
1983;"NE";"4";0
1987;"NE";"4";0
1991;"NE";"4";0
1995;"NE";"4";0
1999;"NE";"4";0
2003;"NE";"4";22,479326
2007;"NE";"4";23,181033
2011;"NE";"4";21,395682
1971;"NW";"4";0
1975;"NW";"4";0
1979;"NW";"4";0
1983;"NW";"4";0
1987;"NW";"4";0
1991;"NW";"4";0
1995;"NW";"4";0
1999;"NW";"4";0
2003;"NW";"4";0
2007;"NW";"4";0
2011;"NW";"4";45,230079
1971;"OW";"4";0
1975;"OW";"4";0
1979;"OW";"4";0
1983;"OW";"4";0
1987;"OW";"4";0
1991;"OW";"4";0
1995;"OW";"4";0
1999;"OW";"4";0
2003;"OW";"4";33,582244
2007;"OW";"4";32,944861
2011;"OW";"4";43,102015
1971;"SG";"4";0
1975;"SG";"4";0
1979;"SG";"4";0
1983;"SG";"4";1,889532
1987;"SG";"4";0
1991;"SG";"4";0
1995;"SG";"4";8,447603
1999;"SG";"4";27,611782
2003;"SG";"4";33,080867
2007;"SG";"4";35,807535
2011;"SG";"4";31,596225
1971;"SH";"4";0
1975;"SH";"4";0
1979;"SH";"4";21,103242
1983;"SH";"4";22,632802
1987;"SH";"4";23,486518
1991;"SH";"4";19,185902
1995;"SH";"4";20,370309
1999;"SH";"4";25,999577
2003;"SH";"4";28,509103
2007;"SH";"4";39,097154
2011;"SH";"4";39,84168
1971;"SO";"4";0
1975;"SO";"4";0
1979;"SO";"4";0
1983;"SO";"4";0
1987;"SO";"4";0
1991;"SO";"4";0
1995;"SO";"4";6,698051
1999;"SO";"4";18,57365
2003;"SO";"4";22,4632
2007;"SO";"4";27,097773
2011;"SO";"4";24,331873
1971;"SZ";"4";0
1975;"SZ";"4";3,029869
1979;"SZ";"4";0
1983;"SZ";"4";6,487922
1987;"SZ";"4";7,588193
1991;"SZ";"4";9,184082
1995;"SZ";"4";21,473591
1999;"SZ";"4";35,860674
2003;"SZ";"4";43,644588
2007;"SZ";"4";44,950204
2011;"SZ";"4";37,977694
1971;"TG";"4";25,973653
1975;"TG";"4";25,071651
1979;"TG";"4";26,416794
1983;"TG";"4";22,787041
1987;"TG";"4";21,664515
1991;"TG";"4";23,668935
1995;"TG";"4";26,968713
1999;"TG";"4";33,220973
2003;"TG";"4";41,032982
2007;"TG";"4";42,33705
2011;"TG";"4";38,860305
1971;"TI";"4";2,443881
1975;"TI";"4";0
1979;"TI";"4";2,301345
1983;"TI";"4";2,083577
1987;"TI";"4";1,25154
1991;"TI";"4";0,961251
1995;"TI";"4";1,475131
1999;"TI";"4";5,294048
2003;"TI";"4";7,579201
2007;"TI";"4";8,75326
2011;"TI";"4";9,708218
1971;"UR";"4";0
1975;"UR";"4";0
1979;"UR";"4";0
1983;"UR";"4";0
1987;"UR";"4";0
1991;"UR";"4";0
1995;"UR";"4";0
1999;"UR";"4";0
2003;"UR";"4";31,275416
2007;"UR";"4";0
2011;"UR";"4";0
1971;"VD";"4";7,735292
1975;"VD";"4";8,053037
1979;"VD";"4";6,810963
1983;"VD";"4";6,171192
1987;"VD";"4";6,231218
1991;"VD";"4";7,347894
1995;"VD";"4";7,757994
1999;"VD";"4";10,718943
2003;"VD";"4";20,491117
2007;"VD";"4";22,511951
2011;"VD";"4";22,9939
1971;"VS";"4";0
1975;"VS";"4";0
1979;"VS";"4";0
1983;"VS";"4";0
1987;"VS";"4";0
1991;"VS";"4";0
1995;"VS";"4";0
1999;"VS";"4";8,977149
2003;"VS";"4";13,367346
2007;"VS";"4";16,575592
2011;"VS";"4";19,669871
1971;"ZG";"4";0
1975;"ZG";"4";0
1979;"ZG";"4";0
1983;"ZG";"4";0
1987;"ZG";"4";0
1991;"ZG";"4";0
1995;"ZG";"4";15,155504
1999;"ZG";"4";21,433
2003;"ZG";"4";27,704852
2007;"ZG";"4";29,093494
2011;"ZG";"4";28,314256
1971;"ZH";"4";12,153333
1975;"ZH";"4";11,346665
1979;"ZH";"4";14,455224
1983;"ZH";"4";13,846975
1987;"ZH";"4";15,214122
1991;"ZH";"4";20,170605
1995;"ZH";"4";25,468035
1999;"ZH";"4";32,48661
2003;"ZH";"4";33,397094
2007;"ZH";"4";33,925088
2011;"ZH";"4";29,845232
1971;"AG";"1";15,902571
1975;"AG";"1";17,663369
1979;"AG";"1";20,544015
1983;"AG";"1";20,22366
1987;"AG";"1";20,266772
1991;"AG";"1";16,398787
1995;"AG";"1";15,81377
1999;"AG";"1";17,181228
2003;"AG";"1";15,33476
2007;"AG";"1";13,599605
2011;"AG";"1";11,454385
1971;"AI";"1";0
1975;"AI";"1";0
1979;"AI";"1";0
1983;"AI";"1";0
1987;"AI";"1";0
1991;"AI";"1";0
1995;"AI";"1";0
1999;"AI";"1";0
2003;"AI";"1";0
2007;"AI";"1";0
2011;"AI";"1";0
1971;"AR";"1";0
1975;"AR";"1";0
1979;"AR";"1";0
1983;"AR";"1";0
1987;"AR";"1";0
1991;"AR";"1";0
1995;"AR";"1";0
1999;"AR";"1";0
2003;"AR";"1";0
2007;"AR";"1";71,977056
2011;"AR";"1";0
1971;"BE";"1";16,353073
1975;"BE";"1";16,883445
1979;"BE";"1";17,889514
