kt;jahr;dim;wert
"SZ";2000;21;-9.76
"SZ";2000;22;8.21
"TG";2000;21;-6.52
"TG";2000;22;6.54
"TI";2000;21;-5.55
"TI";2000;22;-8.93
"UR";2000;21;-8.17
"UR";2000;22;2.55
"VD";2000;21;6.30
"VD";2000;22;-8.22
"VS";2000;21;-3.45
"VS";2000;22;-4.73
"ZG";2000;21;0.36
"ZG";2000;22;6.71
"ZH";2000;21;2.50
"ZH";2000;22;2.33
"AG";2001;21;-3.67
"AG";2001;22;5.86
"AI";2001;21;-9.70
"AI";2001;22;12.19
"AR";2001;21;-4.39
"AR";2001;22;6.17
"BE";2001;21;1.16
"BE";2001;22;0.42
"BL";2001;21;2.03
"BL";2001;22;1.00
"BS";2001;21;5.24
"BS";2001;22;-4.55
"FR";2001;21;1.80
"FR";2001;22;-5.59
"GE";2001;21;7.16
"GE";2001;22;-11.88
"GL";2001;21;-7.91
"GL";2001;22;6.01
"GR";2001;21;-2.38
"GR";2001;22;2.61
"JU";2001;21;1.88
"JU";2001;22;-16.89
"LU";2001;21;-2.14
"LU";2001;22;5.16
"NE";2001;21;4.65
"NE";2001;22;-11.34
"NW";2001;21;-4.30
"NW";2001;22;8.93
"OW";2001;21;-4.47
"OW";2001;22;8.17
"SG";2001;21;-4.60
"SG";2001;22;5.97
"SH";2001;21;-4.65
"SH";2001;22;1.10
"SO";2001;21;-2.39
"SO";2001;22;2.33
"SZ";2001;21;-9.70
"SZ";2001;22;8.40
"TG";2001;21;-6.39
"TG";2001;22;6.63
"TI";2001;21;-5.99
"TI";2001;22;-8.77
"UR";2001;21;-8.06
"UR";2001;22;2.56
"VD";2001;21;6.34
"VD";2001;22;-8.47
"VS";2001;21;-3.53
"VS";2001;22;-4.86
"ZG";2001;21;0.32
"ZG";2001;22;7.02
"ZH";2001;21;2.50
"ZH";2001;22;2.40
"AG";2002;21;-3.61
"AG";2002;22;5.81
"AI";2002;21;-9.58
"AI";2002;22;12.03
"AR";2002;21;-4.24
"AR";2002;22;6.15
"BE";2002;21;1.26
"BE";2002;22;0.31
"BL";2002;21;1.91
"BL";2002;22;0.92
"BS";2002;21;5.17
"BS";2002;22;-4.73
"FR";2002;21;1.81
"FR";2002;22;-5.68
"GE";2002;21;6.85
"GE";2002;22;-11.67
"GL";2002;21;-8.01
"GL";2002;22;5.94
"GR";2002;21;-2.47
"GR";2002;22;2.65
"JU";2002;21;1.70
"JU";2002;22;-16.76
"LU";2002;21;-2.10
"LU";2002;22;5.21
"NE";2002;21;4.82
"NE";2002;22;-11.29
"NW";2002;21;-4.26
"NW";2002;22;9.16
"OW";2002;21;-4.50
"OW";2002;22;8.21
"SG";2002;21;-4.67
"SG";2002;22;5.97
"SH";2002;21;-4.64
"SH";2002;22;1.03
"SO";2002;21;-2.34
"SO";2002;22;2.39
"SZ";2002;21;-9.67
"SZ";2002;22;8.58
"TG";2002;21;-6.27
"TG";2002;22;6.72
"TI";2002;21;-6.45
"TI";2002;22;-8.55
"UR";2002;21;-7.97
"UR";2002;22;2.58
"VD";2002;21;6.47
"VD";2002;22;-8.62
"VS";2002;21;-3.55
"VS";2002;22;-4.88
"ZG";2002;21;0.25
"ZG";2002;22;7.30
"ZH";2002;21;2.50
"ZH";2002;22;2.46
"AG";2003;21;-3.56
"AG";2003;22;5.73
"AI";2003;21;-9.44
"AI";2003;22;11.88
"AR";2003;21;-4.09
"AR";2003;22;6.10
"BE";2003;21;1.32
"BE";2003;22;0.19
"BL";2003;21;1.77
"BL";2003;22;0.76
"BS";2003;21;5.09
"BS";2003;22;-4.97
"FR";2003;21;1.80
"FR";2003;22;-5.73
"GE";2003;21;6.62
"GE";2003;22;-11.37
"GL";2003;21;-8.02
"GL";2003;22;5.87
"GR";2003;21;-2.49
"GR";2003;22;2.72
"JU";2003;21;1.57
"JU";2003;22;-16.61
"LU";2003;21;-2.09
"LU";2003;22;5.25
"NE";2003;21;4.99
"NE";2003;22;-11.20
"NW";2003;21;-4.22
"NW";2003;22;9.40
"OW";2003;21;-4.53
"OW";2003;22;8.27
"SG";2003;21;-4.71
"SG";2003;22;5.93
"SH";2003;21;-4.63
"SH";2003;22;0.99
"SO";2003;21;-2.33
"SO";2003;22;2.38
"SZ";2003;21;-9.64
"SZ";2003;22;8.74
"TG";2003;21;-6.14
"TG";2003;22;6.78
"TI";2003;21;-6.87
"TI";2003;22;-8.25
"UR";2003;21;-7.88
"UR";2003;22;2.60
"VD";2003;21;6.64
"VD";2003;22;-8.69
"VS";2003;21;-3.52
"VS";2003;22;-4.82
"ZG";2003;21;0.16
"ZG";2003;22;7.57
"ZH";2003;21;2.49
"ZH";2003;22;2.52
"AG";2004;21;-3.51
"AG";2004;22;5.59
"AI";2004;21;-9.25
"AI";2004;22;11.73
"AR";2004;21;-3.94
"AR";2004;22;6.00
"BE";2004;21;1.34
"BE";2004;22;0.04
"BL";2004;21;1.61
"BL";2004;22;0.54
"BS";2004;21;4.98
"BS";2004;22;-5.28
"FR";2004;21;1.77
"FR";2004;22;-5.74
"GE";2004;21;6.46
"GE";2004;22;-11.00
"GL";2004;21;-7.95
"GL";2004;22;5.80
"GR";2004;21;-2.43
"GR";2004;22;2.83
"JU";2004;21;1.46
"JU";2004;22;-16.42
"LU";2004;21;-2.08
"LU";2004;22;5.29
"NE";2004;21;5.15
"NE";2004;22;-11.07
"NW";2004;21;-4.16
"NW";2004;22;9.64
"OW";2004;21;-4.54
"OW";2004;22;8.35
"SG";2004;21;-4.73
"SG";2004;22;5.84
"SH";2004;21;-4.62
"SH";2004;22;0.97
"SO";2004;21;-2.35
"SO";2004;22;2.31
"SZ";2004;21;-9.60
"SZ";2004;22;8.89
"TG";2004;21;-6.01
"TG";2004;22;6.80
"TI";2004;21;-7.25
"TI";2004;22;-7.85
"UR";2004;21;-7.78
"UR";2004;22;2.66
"VD";2004;21;6.81
"VD";2004;22;-8.67
"VS";2004;21;-3.41
"VS";2004;22;-4.64
"ZG";2004;21;0.09
"ZG";2004;22;7.81
"ZH";2004;21;2.47
"ZH";2004;22;2.55
"AG";2005;21;-3.45
"AG";2005;22;5.41
"AI";2005;21;-9.00
"AI";2005;22;11.57
"AR";2005;21;-3.78
"AR";2005;22;5.83
"BE";2005;21;1.32
"BE";2005;22;-0.11
"BL";2005;21;1.44
"BL";2005;22;0.30
"BS";2005;21;4.86
"BS";2005;22;-5.63
"FR";2005;21;1.70
"FR";2005;22;-5.68
"GE";2005;21;6.34
"GE";2005;22;-10.54
"GL";2005;21;-7.78
"GL";2005;22;5.74
"GR";2005;21;-2.29
"GR";2005;22;2.99
"JU";2005;21;1.38
"JU";2005;22;-16.16
"LU";2005;21;-2.04
"LU";2005;22;5.32
"NE";2005;21;5.24
"NE";2005;22;-10.91
"NW";2005;21;-4.07
"NW";2005;22;9.89
"OW";2005;21;-4.51
"OW";2005;22;8.46
"SG";2005;21;-4.73
"SG";2005;22;5.69
"SH";2005;21;-4.59
"SH";2005;22;0.97
"SO";2005;21;-2.39
"SO";2005;22;2.18
"SZ";2005;21;-9.52
"SZ";2005;22;9.01
"TG";2005;21;-5.88
"TG";2005;22;6.77
"TI";2005;21;-7.57
"TI";2005;22;-7.33
"UR";2005;21;-7.64
"UR";2005;22;2.77
"VD";2005;21;6.94
"VD";2005;22;-8.56
"VS";2005;21;-3.22
"VS";2005;22;-4.32
"ZG";2005;21;0.05
"ZG";2005;22;8.01
"ZH";2005;21;2.45
"ZH";2005;22;2.55
"AG";2006;21;-3.39
"AG";2006;22;5.18
"AI";2006;21;-8.71
"AI";2006;22;11.39
"AR";2006;21;-3.63
"AR";2006;22;5.60
"BE";2006;21;1.24
"BE";2006;22;-0.28
"BL";2006;21;1.26
"BL";2006;22;0.05
"BS";2006;21;4.73
"BS";2006;22;-6.01
"FR";2006;21;1.63
"FR";2006;22;-5.54
"GE";2006;21;6.27
"GE";2006;22;-10.02
"GL";2006;21;-7.51
"GL";2006;22;5.66
"GR";2006;21;-2.06
"GR";2006;22;3.20
"JU";2006;21;1.35
"JU";2006;22;-15.81
"LU";2006;21;-1.98
"LU";2006;22;5.33
"NE";2006;21;5.27
"NE";2006;22;-10.73
"NW";2006;21;-3.95
"NW";2006;22;10.11
"OW";2006;21;-4.45
"OW";2006;22;8.57
"SG";2006;21;-4.70
"SG";2006;22;5.48
"SH";2006;21;-4.57
"SH";2006;22;1.01
"SO";2006;21;-2.43
"SO";2006;22;2.01
"SZ";2006;21;-9.40
"SZ";2006;22;9.12
"TG";2006;21;-5.74
"TG";2006;22;6.67
"TI";2006;21;-7.80
"TI";2006;22;-6.68
"UR";2006;21;-7.46
"UR";2006;22;2.97
"VD";2006;21;7.05
"VD";2006;22;-8.38
"VS";2006;21;-2.93
"VS";2006;22;-3.85
"ZG";2006;21;0.04
"ZG";2006;22;8.16
"ZH";2006;21;2.41
"ZH";2006;22;2.49
"AG";2007;21;-3.32
"AG";2007;22;4.92
"AI";2007;21;-8.35
"AI";2007;22;11.18
"AR";2007;21;-3.49
"AR";2007;22;5.30
"BE";2007;21;1.12
"BE";2007;22;-0.45
"BL";2007;21;1.06
"BL";2007;22;-0.17
"BS";2007;21;4.58
"BS";2007;22;-6.41
"FR";2007;21;1.53
"FR";2007;22;-5.34
"GE";2007;21;6.19
"GE";2007;22;-9.48
"GL";2007;21;-7.14
"GL";2007;22;5.56
"GR";2007;21;-1.74
"GR";2007;22;3.45
"JU";2007;21;1.33
"JU";2007;22;-15.40
"LU";2007;21;-1.87
"LU";2007;22;5.31
"NE";2007;21;5.22
"NE";2007;22;-10.52
"NW";2007;21;-3.77
"NW";2007;22;10.31
"OW";2007;21;-4.32
"OW";2007;22;8.70
"SG";2007;21;-4.64
"SG";2007;22;5.22
"SH";2007;21;-4.54
"SH";2007;22;1.06
"SO";2007;21;-2.47
"SO";2007;22;1.82
"SZ";2007;21;-9.22
"SZ";2007;22;9.20
"TG";2007;21;-5.58
"TG";2007;22;6.51
"TI";2007;21;-7.96
"TI";2007;22;-5.94
"UR";2007;21;-7.21
"UR";2007;22;3.27
"VD";2007;21;7.09
"VD";2007;22;-8.12
"VS";2007;21;-2.55
"VS";2007;22;-3.23
"ZG";2007;21;0.08
"ZG";2007;22;8.25
"ZH";2007;21;2.35
"ZH";2007;22;2.34
"AG";2008;21;-3.24
"AG";2008;22;4.65
"AI";2008;21;-8.00
"AI";2008;22;10.96
"AR";2008;21;-3.38
"AR";2008;22;4.96
"BE";2008;21;0.95
"BE";2008;22;-0.60
"BL";2008;21;0.86
"BL";2008;22;-0.34
"BS";2008;21;4.43
"BS";2008;22;-6.81
"FR";2008;21;1.44
"FR";2008;22;-5.07
"GE";2008;21;6.11
"GE";2008;22;-8.96
"GL";2008;21;-6.70
"GL";2008;22;5.45
"GR";2008;21;-1.36
"GR";2008;22;3.70
"JU";2008;21;1.34
"JU";2008;22;-14.92
"LU";2008;21;-1.73
"LU";2008;22;5.26
"NE";2008;21;5.10
"NE";2008;22;-10.30
"NW";2008;21;-3.56
"NW";2008;22;10.45
"OW";2008;21;-4.16
"OW";2008;22;8.81
"SG";2008;21;-4.57
"SG";2008;22;4.93
"SH";2008;21;-4.52
"SH";2008;22;1.13
"SO";2008;21;-2.50
"SO";2008;22;1.65
"SZ";2008;21;-8.98
"SZ";2008;22;9.26
"TG";2008;21;-5.42
"TG";2008;22;6.29
"TI";2008;21;-8.01
"TI";2008;22;-5.13
"UR";2008;21;-6.93
"UR";2008;22;3.65
"VD";2008;21;7.08
"VD";2008;22;-7.81
"VS";2008;21;-2.09
"VS";2008;22;-2.50
"ZG";2008;21;0.17
"ZG";2008;22;8.27
"ZH";2008;21;2.28
"ZH";2008;22;2.12
"AG";2009;21;-3.16
"AG";2009;22;4.42
"AI";2009;21;-7.65
"AI";2009;22;10.72
"AR";2009;21;-3.30
"AR";2009;22;4.61
"BE";2009;21;0.76
"BE";2009;22;-0.72
"BL";2009;21;0.65
"BL";2009;22;-0.45
"BS";2009;21;4.27
"BS";2009;22;-7.17
"FR";2009;21;1.35
"FR";2009;22;-4.77
"GE";2009;21;6.01
"GE";2009;22;-8.50
"GL";2009;21;-6.21
"GL";2009;22;5.33
"GR";2009;21;-0.95
"GR";2009;22;3.94
"JU";2009;21;1.37
"JU";2009;22;-14.42
"LU";2009;21;-1.57
"LU";2009;22;5.16
"NE";2009;21;4.92
"NE";2009;22;-10.07
"NW";2009;21;-3.32
"NW";2009;22;10.54
"OW";2009;21;-3.97
"OW";2009;22;8.91
"SG";2009;21;-4.50
"SG";2009;22;4.64
"SH";2009;21;-4.51
"SH";2009;22;1.21
"SO";2009;21;-2.51
"SO";2009;22;1.51
"SZ";2009;21;-8.69
"SZ";2009;22;9.31
"TG";2009;21;-5.27
"TG";2009;22;6.04
"TI";2009;21;-7.97
"TI";2009;22;-4.34
"UR";2009;21;-6.64
"UR";2009;22;4.08
"VD";2009;21;7.03
"VD";2009;22;-7.48
"VS";2009;21;-1.56
"VS";2009;22;-1.74
"ZG";2009;21;0.29
"ZG";2009;22;8.22
"ZH";2009;21;2.21
"ZH";2009;22;1.84
"AG";2010;21;-3.07
"AG";2010;22;4.22
"AI";2010;21;-7.37
"AI";2010;22;10.48
"AR";2010;21;-3.26
"AR";2010;22;4.29
"BE";2010;21;0.53
"BE";2010;22;-0.80
"BL";2010;21;0.45
"BL";2010;22;-0.48
"BS";2010;21;4.14
"BS";2010;22;-7.48
"FR";2010;21;1.27
"FR";2010;22;-4.48
"GE";2010;21;5.91
"GE";2010;22;-8.11
"GL";2010;21;-5.71
"GL";2010;22;5.20
"GR";2010;21;-0.55
"GR";2010;22;4.14
"JU";2010;21;1.40
"JU";2010;22;-13.95
"LU";2010;21;-1.41
"LU";2010;22;5.01
"NE";2010;21;4.72
"NE";2010;22;-9.85
"NW";2010;21;-3.10
"NW";2010;22;10.57
"OW";2010;21;-3.80
"OW";2010;22;8.98
"SG";2010;21;-4.43
"SG";2010;22;4.37
"SH";2010;21;-4.53
"SH";2010;22;1.29
"SO";2010;21;-2.52
"SO";2010;22;1.41
"SZ";2010;21;-8.39
"SZ";2010;22;9.35
"TG";2010;21;-5.15
"TG";2010;22;5.78
"TI";2010;21;-7.85
"TI";2010;22;-3.62
"UR";2010;21;-6.37
"UR";2010;22;4.51
"VD";2010;21;6.95
"VD";2010;22;-7.15
"VS";2010;21;-1.02
"VS";2010;22;-0.99
"ZG";2010;21;0.42
"ZG";2010;22;8.12
"ZH";2010;21;2.13
"ZH";2010;22;1.53
"AG";2011;21;-2.99
"AG";2011;22;4.07
"AI";2011;21;-7.19
"AI";2011;22;10.27
"AR";2011;21;-3.28
"AR";2011;22;4.02
"BE";2011;21;0.31
"BE";2011;22;-0.85
"BL";2011;21;0.28
"BL";2011;22;-0.47
"BS";2011;21;4.06
"BS";2011;22;-7.74
"FR";2011;21;1.21
"FR";2011;22;-4.21
"GE";2011;21;5.81
"GE";2011;22;-7.83
"GL";2011;21;-5.26
"GL";2011;22;5.10
"GR";2011;21;-0.20
"GR";2011;22;4.31
"JU";2011;21;1.45
"JU";2011;22;-13.54
"LU";2011;21;-1.28
"LU";2011;22;4.85
"NE";2011;21;4.52
"NE";2011;22;-9.66
"NW";2011;21;-2.90
"NW";2011;22;10.58
"OW";2011;21;-3.67
"OW";2011;22;9.03
"SG";2011;21;-4.38
"SG";2011;22;4.14
"SH";2011;21;-4.59
"SH";2011;22;1.35
"SO";2011;21;-2.52
"SO";2011;22;1.36
"SZ";2011;21;-8.10
"SZ";2011;22;9.39
"TG";2011;21;-5.07
"TG";2011;22;5.55
"TI";2011;21;-7.70
"TI";2011;22;-2.99
"UR";2011;21;-6.16
"UR";2011;22;4.93
"VD";2011;21;6.88
"VD";2011;22;-6.85
"VS";2011;21;-0.50
"VS";2011;22;-0.32
"ZG";2011;21;0.56
"ZG";2011;22;7.99
"ZH";2011;21;2.06
"ZH";2011;22;1.21
"AG";2012;21;-2.93
"AG";2012;22;3.97
"AI";2012;21;-7.10
"AI";2012;22;10.11
"AR";2012;21;-3.34
"AR";2012;22;3.80
"BE";2012;21;0.09
"BE";2012;22;-0.87
"BL";2012;21;0.13
"BL";2012;22;-0.44
"BS";2012;21;4.01
"BS";2012;22;-7.94
"FR";2012;21;1.16
"FR";2012;22;-3.97
"GE";2012;21;5.71
"GE";2012;22;-7.63
"GL";2012;21;-4.88
"GL";2012;22;5.02
"GR";2012;21;0.09
"GR";2012;22;4.42
"JU";2012;21;1.48
"JU";2012;22;-13.21
"LU";2012;21;-1.18
"LU";2012;22;4.66
"NE";2012;21;4.36
"NE";2012;22;-9.50
"NW";2012;21;-2.74
"NW";2012;22;10.58
"OW";2012;21;-3.61
"OW";2012;22;9.07
"SG";2012;21;-4.34
"SG";2012;22;3.96
"SH";2012;21;-4.68
"SH";2012;22;1.40
"SO";2012;21;-2.52
"SO";2012;22;1.34
"SZ";2012;21;-7.85
"SZ";2012;22;9.43
"TG";2012;21;-5.02
"TG";2012;22;5.34
"TI";2012;21;-7.54
"TI";2012;22;-2.51
"UR";2012;21;-6.02
"UR";2012;22;5.30
"VD";2012;21;6.83
"VD";2012;22;-6.59
"VS";2012;21;-0.02
"VS";2012;22;0.26
"ZG";2012;21;0.67
"ZG";2012;22;7.85
"ZH";2012;21;2.00
"ZH";2012;22;0.92
"AG";2013;21;-2.88
"AG";2013;22;3.91
"AI";2013;21;-7.13
"AI";2013;22;9.98
"AR";2013;21;-3.43
"AR";2013;22;3.62
"BE";2013;21;-0.10
"BE";2013;22;-0.86
"BL";2013;21;0.02
"BL";2013;22;-0.40
"BS";2013;21;4.03
"BS";2013;22;-8.12
"FR";2013;21;1.14
"FR";2013;22;-3.78
"GE";2013;21;5.66
"GE";2013;22;-7.49
"GL";2013;21;-4.61
"GL";2013;22;4.96
"GR";2013;21;0.30
"GR";2013;22;4.51
"JU";2013;21;1.52
"JU";2013;22;-12.94
"LU";2013;21;-1.13
"LU";2013;22;4.47
"NE";2013;21;4.26
"NE";2013;22;-9.37
"NW";2013;21;-2.66
"NW";2013;22;10.59
"OW";2013;21;-3.61
"OW";2013;22;9.10
"SG";2013;21;-4.35
"SG";2013;22;3.82
"SH";2013;21;-4.79
"SH";2013;22;1.43
"SO";2013;21;-2.52
"SO";2013;22;1.34
"SZ";2013;21;-7.67
"SZ";2013;22;9.48
"TG";2013;21;-5.03
"TG";2013;22;5.16
"TI";2013;21;-7.38
"TI";2013;22;-2.11
"UR";2013;21;-5.95
"UR";2013;22;5.63
"VD";2013;21;6.82
"VD";2013;22;-6.37
"VS";2013;21;0.37
"VS";2013;22;0.74
"ZG";2013;21;0.76
"ZG";2013;22;7.71
"ZH";2013;21;1.95
"ZH";2013;22;0.65
"AG";2014;21;-2.87
"AG";2014;22;3.87
"AI";2014;21;-7.24
"AI";2014;22;9.90
"AR";2014;21;-3.54
"AR";2014;22;3.49
"BE";2014;21;-0.26
"BE";2014;22;-0.82
"BL";2014;21;-0.06
"BL";2014;22;-0.36
"BS";2014;21;4.10
"BS";2014;22;-8.24
"FR";2014;21;1.12
"FR";2014;22;-3.63
"GE";2014;21;5.65
"GE";2014;22;-7.42
"GL";2014;21;-4.43
"GL";2014;22;4.94
"GR";2014;21;0.44
"GR";2014;22;4.57
"JU";2014;21;1.57
"JU";2014;22;-12.76
"LU";2014;21;-1.12
"LU";2014;22;4.31
"NE";2014;21;4.22
"NE";2014;22;-9.29
"NW";2014;21;-2.64
"NW";2014;22;10.62
"OW";2014;21;-3.67
"OW";2014;22;9.14
"SG";2014;21;-4.37
"SG";2014;22;3.72
"SH";2014;21;-4.92
"SH";2014;22;1.43
"SO";2014;21;-2.53
"SO";2014;22;1.35
"SZ";2014;21;-7.56
"SZ";2014;22;9.53
"TG";2014;21;-5.08
"TG";2014;22;5.03
"TI";2014;21;-7.28
"TI";2014;22;-1.86
"UR";2014;21;-5.95
"UR";2014;22;5.91
"VD";2014;21;6.84
"VD";2014;22;-6.20
"VS";2014;21;0.67
"VS";2014;22;1.12
"ZG";2014;21;0.83
"ZG";2014;22;7.60
"ZH";2014;21;1.93
"ZH";2014;22;0.42
