kt;jahr;dim;wert
"NW";1985;22;7.44
"OW";1985;21;-5.88
"OW";1985;22;7.97
"SG";1985;21;-1.42
"SG";1985;22;4.46
"SH";1985;21;-2.72
"SH";1985;22;1.05
"SO";1985;21;-3.72
"SO";1985;22;0.74
"SZ";1985;21;-9.89
"SZ";1985;22;7.63
"TG";1985;21;-3.69
"TG";1985;22;7.52
"TI";1985;21;2.93
"TI";1985;22;-12.05
"UR";1985;21;-6.90
"UR";1985;22;0.83
"VD";1985;21;6.18
"VD";1985;22;-1.10
"VS";1985;21;-4.55
"VS";1985;22;7.26
"ZG";1985;21;1.10
"ZG";1985;22;4.10
"ZH";1985;21;1.98
"ZH";1985;22;-1.46
"AG";1986;21;-5.31
"AG";1986;22;6.15
"AI";1986;21;-8.33
"AI";1986;22;13.39
"AR";1986;21;-4.02
"AR";1986;22;7.26
"BE";1986;21;-1.46
"BE";1986;22;1.91
"BL";1986;21;3.57
"BL";1986;22;-4.98
"BS";1986;21;4.63
"BS";1986;22;-11.25
"FR";1986;21;1.19
"FR";1986;22;-0.22
"GE";1986;21;8.35
"GE";1986;22;-10.72
"GL";1986;21;-5.22
"GL";1986;22;5.61
"GR";1986;21;0.96
"GR";1986;22;1.82
"JU";1986;21;2.62
"JU";1986;22;-13.74
"LU";1986;21;-2.46
"LU";1986;22;3.20
"NE";1986;21;6.92
"NE";1986;22;-5.40
"NW";1986;21;-3.12
"NW";1986;22;7.52
"OW";1986;21;-5.84
"OW";1986;22;8.12
"SG";1986;21;-1.64
"SG";1986;22;4.27
"SH";1986;21;-2.99
"SH";1986;22;0.97
"SO";1986;21;-3.75
"SO";1986;22;0.87
"SZ";1986;21;-9.89
"SZ";1986;22;7.61
"TG";1986;21;-4.01
"TG";1986;22;7.38
"TI";1986;21;2.17
"TI";1986;22;-11.96
"UR";1986;21;-7.09
"UR";1986;22;1.10
"VD";1986;21;6.50
"VD";1986;22;-1.07
"VS";1986;21;-4.12
"VS";1986;22;7.13
"ZG";1986;21;1.02
"ZG";1986;22;4.03
"ZH";1986;21;1.98
"ZH";1986;22;-1.45
"AG";1987;21;-5.04
"AG";1987;22;6.28
"AI";1987;21;-8.33
"AI";1987;22;13.30
"AR";1987;21;-4.22
"AR";1987;22;6.92
"BE";1987;21;-1.30
"BE";1987;22;1.88
"BL";1987;21;3.34
"BL";1987;22;-4.85
"BS";1987;21;4.59
"BS";1987;22;-11.14
"FR";1987;21;1.41
"FR";1987;22;-0.42
"GE";1987;21;8.42
"GE";1987;22;-10.96
"GL";1987;21;-5.24
"GL";1987;22;5.57
"GR";1987;21;0.50
"GR";1987;22;1.80
"JU";1987;21;2.64
"JU";1987;22;-13.91
"LU";1987;21;-2.58
"LU";1987;22;3.31
"NE";1987;21;6.72
"NE";1987;22;-5.47
"NW";1987;21;-3.10
"NW";1987;22;7.61
"OW";1987;21;-5.85
"OW";1987;22;8.28
"SG";1987;21;-1.95
"SG";1987;22;4.09
"SH";1987;21;-3.32
"SH";1987;22;0.89
"SO";1987;21;-3.77
"SO";1987;22;0.96
"SZ";1987;21;-10.00
"SZ";1987;22;7.57
"TG";1987;21;-4.40
"TG";1987;22;7.22
"TI";1987;21;1.21
"TI";1987;22;-11.78
"UR";1987;21;-7.39
"UR";1987;22;1.40
"VD";1987;21;6.89
"VD";1987;22;-1.07
"VS";1987;21;-3.66
"VS";1987;22;6.91
"ZG";1987;21;0.85
"ZG";1987;22;3.95
"ZH";1987;21;2.00
"ZH";1987;22;-1.39
"AG";1988;21;-4.77
"AG";1988;22;6.40
"AI";1988;21;-8.45
"AI";1988;22;13.20
"AR";1988;21;-4.49
"AR";1988;22;6.57
"BE";1988;21;-1.07
"BE";1988;22;1.81
"BL";1988;21;3.07
"BL";1988;22;-4.69
"BS";1988;21;4.56
"BS";1988;22;-10.96
"FR";1988;21;1.67
"FR";1988;22;-0.68
"GE";1988;21;8.55
"GE";1988;22;-11.16
"GL";1988;21;-5.34
"GL";1988;22;5.53
"GR";1988;21;-0.01
"GR";1988;22;1.78
"JU";1988;21;2.81
"JU";1988;22;-14.15
"LU";1988;21;-2.74
"LU";1988;22;3.46
"NE";1988;21;6.54
"NE";1988;22;-5.58
"NW";1988;21;-3.17
"NW";1988;22;7.73
"OW";1988;21;-5.88
"OW";1988;22;8.45
"SG";1988;21;-2.32
"SG";1988;22;3.94
"SH";1988;21;-3.67
"SH";1988;22;0.84
"SO";1988;21;-3.79
"SO";1988;22;1.02
"SZ";1988;21;-10.18
"SZ";1988;22;7.52
"TG";1988;21;-4.83
"TG";1988;22;7.05
"TI";1988;21;0.12
"TI";1988;22;-11.54
"UR";1988;21;-7.75
"UR";1988;22;1.72
"VD";1988;21;7.30
"VD";1988;22;-1.13
"VS";1988;21;-3.21
"VS";1988;22;6.53
"ZG";1988;21;0.63
"ZG";1988;22;3.87
"ZH";1988;21;2.03
"ZH";1988;22;-1.24
"AG";1989;21;-4.53
"AG";1989;22;6.49
"AI";1989;21;-8.68
"AI";1989;22;13.09
"AR";1989;21;-4.79
"AR";1989;22;6.22
"BE";1989;21;-0.83
"BE";1989;22;1.69
"BL";1989;21;2.80
"BL";1989;22;-4.50
"BS";1989;21;4.55
"BS";1989;22;-10.72
"FR";1989;21;1.91
"FR";1989;22;-0.99
"GE";1989;21;8.72
"GE";1989;22;-11.30
"GL";1989;21;-5.50
"GL";1989;22;5.50
"GR";1989;21;-0.48
"GR";1989;22;1.77
"JU";1989;21;3.06
"JU";1989;22;-14.42
"LU";1989;21;-2.91
"LU";1989;22;3.63
"NE";1989;21;6.38
"NE";1989;22;-5.72
"NW";1989;21;-3.31
"NW";1989;22;7.84
"OW";1989;21;-5.92
"OW";1989;22;8.61
"SG";1989;21;-2.70
"SG";1989;22;3.83
"SH";1989;21;-4.02
"SH";1989;22;0.83
"SO";1989;21;-3.80
"SO";1989;22;1.03
"SZ";1989;21;-10.39
"SZ";1989;22;7.44
"TG";1989;21;-5.26
"TG";1989;22;6.87
"TI";1989;21;-0.94
"TI";1989;22;-11.20
"UR";1989;21;-8.12
"UR";1989;22;2.04
"VD";1989;21;7.65
"VD";1989;22;-1.26
"VS";1989;21;-2.84
"VS";1989;22;5.97
"ZG";1989;21;0.39
"ZG";1989;22;3.82
"ZH";1989;21;2.07
"ZH";1989;22;-1.02
"AG";1990;21;-4.35
"AG";1990;22;6.53
"AI";1990;21;-8.97
"AI";1990;22;12.97
"AR";1990;21;-5.05
"AR";1990;22;5.92
"BE";1990;21;-0.58
"BE";1990;22;1.53
"BL";1990;21;2.56
"BL";1990;22;-4.21
"BS";1990;21;4.58
"BS";1990;22;-10.32
"FR";1990;21;2.09
"FR";1990;22;-1.39
"GE";1990;21;8.93
"GE";1990;22;-11.39
"GL";1990;21;-5.70
"GL";1990;22;5.51
